id,assignment_id,solver_id,attempt_number,initiated_at,answered_at,ended_at,status,updated_at,call_sid
73,40,9,5,2022-02-16 02:12:42.000000+00,,,MISSED,2022-02-16 02:14:42.000000+00,
74,41,9,1,2022-02-17 03:12:42.000000+00,,,MISSED,2022-02-17 03:14:42.000000+00,
75,41,9,2,2022-02-17 05:12:42.000000+00,,,MISSED,2022-02-17 05:14:42.000000+00,
76,41,9,3,2022-02-17 07:12:42.000000+00,,,MISSED,2022-02-17 07:14:42.000000+00,
77,42,7,1,2023-08-30 21:25:39.000000+00,2023-08-30 21:25:55.000000+00,2023-08-30 21:28:02.000000+00,ANSWERED,2023-08-30 21:28:02.000000+00,
78,43,9,1,2022-10-28 08:03:21.000000+00,,,MISSED,2022-10-28 08:05:21.000000+00,
79,43,9,2,2022-10-28 12:03:21.000000+00,,,MISSED,2022-10-28 12:05:21.000000+00,
80,43,9,3,2022-10-28 16:03:21.000000+00,,,MISSED,2022-10-28 16:05:21.000000+00,
81,43,9,4,2022-10-28 20:03:21.000000+00,,,MISSED,2022-10-28 20:05:21.000000+00,
82,44,7,1,2022-03-28 12:10:18.000000+00,2022-03-28 12:10:31.000000+00,2022-03-28 12:14:53.000000+00,ANSWERED,2022-03-28 12:14:53.000000+00,
83,45,10,1,2025-09-16 15:46:26.000000+00,,,MISSED,2025-09-16 15:48:26.000000+00,
84,45,10,2,2025-09-16 17:46:26.000000+00,,,MISSED,2025-09-16 17:48:26.000000+00,
85,45,10,3,2025-09-16 19:46:26.000000+00,,,MISSED,2025-09-16 19:48:26.000000+00,
86,45,10,4,2025-09-16 21:46:26.000000+00,2025-09-16 21:46:35.000000+00,2025-09-16 21:49:33.000000+00,ANSWERED,2025-09-16 21:49:33.000000+00,
87,46,10,1,2024-07-19 10:08:45.000000+00,2024-07-19 10:09:09.000000+00,2024-07-19 10:12:57.000000+00,ANSWERED,2024-07-19 10:12:57.000000+00,
88,47,10,1,2022-01-31 09:52:55.000000+00,,,MISSED,2022-01-31 09:54:55.000000+00,
89,47,10,2,2022-01-31 13:52:55.000000+00,2022-01-31 13:53:16.000000+00,2022-01-31 13:56:31.000000+00,ANSWERED,2022-01-31 13:56:31.000000+00,
90,48,6,1,2025-12-19 12:06:25.000000+00,2025-12-19 12:06:40.000000+00,2025-12-19 12:09:03.000000+00,ANSWERED,2025-12-19 12:09:03.000000+00,
91,49,6,1,2025-12-26 13:27:45.000000+00,2025-12-26 13:28:10.000000+00,2025-12-26 13:31:05.000000+00,ANSWERED,2025-12-26 13:31:05.000000+00,
92,50,6,1,2022-01-17 10:48:06.000000+00,,,MISSED,2022-01-17 10:50:06.000000+00,
93,50,6,2,2022-01-17 14:48:06.000000+00,2022-01-17 14:48:20.000000+00,2022-01-17 14:52:01.000000+00,ANSWERED,2022-01-17 14:52:01.000000+00,
94,51,9,1,2024-03-08 09:05:11.000000+00,,,MISSED,2024-03-08 09:07:11.000000+00,
95,51,9,2,2024-03-08 13:05:11.000000+00,2024-03-08 13:05:28.000000+00,2024-03-08 13:07:02.000000+00,ANSWERED,2024-03-08 13:07:02.000000+00,
96,52,10,1,2022-12-06 18:39:18.000000+00,,,MISSED,2022-12-06 18:41:18.000000+00,
97,52,10,2,2022-12-06 22:39:18.000000+00,,,MISSED,2022-12-06 22:41:18.000000+00,
98,52,10,3,2022-12-07 02:39:18.000000+00,2022-12-07 02:39:42.000000+00,2022-12-07 02:44:32.000000+00,ANSWERED,2022-12-07 02:44:32.000000+00,
99,53,10,1,2025-09-04 16:07:52.000000+00,,,MISSED,2025-09-04 16:09:52.000000+00,
100,53,10,2,2025-09-05 00:07:52.000000+00,,,MISSED,2025-09-05 00:09:52.000000+00,
101,53,10,3,2025-09-05 08:07:52.000000+00,,,MISSED,2025-09-05 08:09:52.000000+00,
102,54,7,1,2025-09-05 22:07:52.000000+00,,,MISSED,2025-09-05 22:09:52.000000+00,
103,54,7,2,2025-09-06 06:07:52.000000+00,,,MISSED,2025-09-06 06:09:52.000000+00,
104,54,7,3,2025-09-06 14:07:52.000000+00,,,MISSED,2025-09-06 14:09:52.000000+00,
105,55,9,1,2022-06-07 16:11:59.000000+00,,,INITIATED,2022-06-07 16:11:59.000000+00,
106,56,6,1,2022-01-22 18:32:42.000000+00,,,MISSED,2022-01-22 18:34:42.000000+00,
107,56,6,2,2022-01-22 22:32:42.000000+00,2022-01-22 22:33:03.000000+00,2022-01-22 22:35:50.000000+00,ANSWERED,2022-01-22 22:35:50.000000+00,
108,57,9,1,2022-10-28 14:15:36.000000+00,,,MISSED,2022-10-28 14:17:36.000000+00,
109,57,9,2,2022-10-28 18:15:36.000000+00,2022-10-28 18:15:54.000000+00,2022-10-28 18:20:28.000000+00,ANSWERED,2022-10-28 18:20:28.000000+00,
110,58,9,1,2025-07-01 09:59:32.000000+00,2025-07-01 09:59:43.000000+00,2025-07-01 10:04:43.000000+00,ANSWERED,2025-07-01 10:04:43.000000+00,
111,59,9,1,2023-11-30 11:59:57.000000+00,,,INITIATED,2023-11-30 11:59:57.000000+00,
112,60,9,1,2025-12-11 05:04:42.000000+00,,,MISSED,2025-12-11 05:06:42.000000+00,
113,60,9,2,2025-12-11 09:04:42.000000+00,2025-12-11 09:05:07.000000+00,2025-12-11 09:08:38.000000+00,ANSWERED,2025-12-11 09:08:38.000000+00,
114,61,9,1,2025-06-08 08:28:48.000000+00,,,MISSED,2025-06-08 08:30:48.000000+00,
115,61,9,2,2025-06-08 12:28:48.000000+00,,,MISSED,2025-06-08 12:30:48.000000+00,
116,61,9,3,2025-06-08 16:28:48.000000+00,,,MISSED,2025-06-08 16:30:48.000000+00,
117,62,8,1,2024-11-12 14:48:55.000000+00,,,MISSED,2024-11-12 14:50:55.000000+00,
118,62,8,2,2024-11-12 18:48:55.000000+00,2024-11-12 18:49:14.000000+00,2024-11-12 18:54:11.000000+00,ANSWERED,2024-11-12 18:54:11.000000+00,
119,63,6,1,2024-06-03 09:38:41.000000+00,2024-06-03 09:38:58.000000+00,2024-06-03 09:42:20.000000+00,ANSWERED,2024-06-03 09:42:20.000000+00,
120,64,6,1,2024-05-16 18:22:15.000000+00,2024-05-16 18:22:25.000000+00,2024-05-16 18:26:11.000000+00,ANSWERED,2024-05-16 18:26:11.000000+00,
121,65,8,1,2024-10-04 17:26:54.000000+00,,,MISSED,2024-10-04 17:28:54.000000+00,
122,65,8,2,2024-10-05 01:26:54.000000+00,2024-10-05 01:27:11.000000+00,2024-10-05 01:29:10.000000+00,ANSWERED,2024-10-05 01:29:10.000000+00,
123,66,6,1,2024-08-30 15:56:48.000000+00,,,MISSED,2024-08-30 15:58:48.000000+00,
124,66,6,2,2024-08-30 23:56:48.000000+00,,,MISSED,2024-08-30 23:58:48.000000+00,
125,66,6,3,2024-08-31 07:56:48.000000+00,,,MISSED,2024-08-31 07:58:48.000000+00,
126,66,6,4,2024-08-31 15:56:48.000000+00,,,MISSED,2024-08-31 15:58:48.000000+00,
127,67,7,1,2023-09-16 15:17:34.000000+00,,,MISSED,2023-09-16 15:19:34.000000+00,
128,67,7,2,2023-09-16 19:17:34.000000+00,2023-09-16 19:17:42.000000+00,2023-09-16 19:21:58.000000+00,ANSWERED,2023-09-16 19:21:58.000000+00,
129,68,9,1,2025-01-22 15:36:39.000000+00,,,INITIATED,2025-01-22 15:36:39.000000+00,
130,69,10,1,2025-01-21 05:11:11.000000+00,,,MISSED,2025-01-21 05:13:11.000000+00,
131,69,10,2,2025-01-21 07:11:11.000000+00,2025-01-21 07:11:20.000000+00,2025-01-21 07:16:06.000000+00,ANSWERED,2025-01-21 07:16:06.000000+00,
132,70,10,1,2024-11-24 14:46:11.000000+00,,,MISSED,2024-11-24 14:48:11.000000+00,
133,70,10,2,2024-11-24 18:46:11.000000+00,2024-11-24 18:46:24.000000+00,2024-11-24 18:50:42.000000+00,ANSWERED,2024-11-24 18:50:42.000000+00,
134,71,10,1,2025-02-04 18:34:36.000000+00,,,MISSED,2025-02-04 18:36:36.000000+00,
135,71,10,2,2025-02-04 22:34:36.000000+00,2025-02-04 22:34:48.000000+00,2025-02-04 22:38:33.000000+00,ANSWERED,2025-02-04 22:38:33.000000+00,
136,72,9,1,2023-08-05 11:04:33.000000+00,,,MISSED,2023-08-05 11:06:33.000000+00,
137,72,9,2,2023-08-05 19:04:33.000000+00,,,MISSED,2023-08-05 19:06:33.000000+00,
138,72,9,3,2023-08-06 03:04:33.000000+00,,,MISSED,2023-08-06 03:06:33.000000+00,
139,72,9,4,2023-08-06 11:04:33.000000+00,,,MISSED,2023-08-06 11:06:33.000000+00,
140,73,10,1,2024-09-18 10:48:34.000000+00,,,MISSED,2024-09-18 10:50:34.000000+00,
141,73,10,2,2024-09-18 18:48:34.000000+00,2024-09-18 18:48:50.000000+00,2024-09-18 18:50:50.000000+00,ANSWERED,2024-09-18 18:50:50.000000+00,
142,74,10,1,2025-11-01 11:06:22.000000+00,2025-11-01 11:06:30.000000+00,2025-11-01 11:10:54.000000+00,ANSWERED,2025-11-01 11:10:54.000000+00,
143,75,7,1,2024-04-08 01:15:51.000000+00,,,MISSED,2024-04-08 01:17:51.000000+00,
144,75,7,2,2024-04-08 05:15:51.000000+00,,,MISSED,2024-04-08 05:17:51.000000+00,
145,75,7,3,2024-04-08 09:15:51.000000+00,2024-04-08 09:16:03.000000+00,2024-04-08 09:21:00.000000+00,ANSWERED,2024-04-08 09:21:00.000000+00,
146,76,6,1,2026-01-09 11:26:33.000000+00,,,MISSED,2026-01-09 11:28:33.000000+00,
147,76,6,2,2026-01-09 19:26:33.000000+00,,,MISSED,2026-01-09 19:28:33.000000+00,
148,76,6,3,2026-01-10 03:26:33.000000+00,,,MISSED,2026-01-10 03:28:33.000000+00,
149,77,9,1,2024-01-28 17:24:23.000000+00,2024-01-28 17:24:31.000000+00,2024-01-28 17:27:47.000000+00,ANSWERED,2024-01-28 17:27:47.000000+00,
150,78,9,1,2025-10-20 17:09:59.000000+00,2025-10-20 17:10:10.000000+00,2025-10-20 17:13:45.000000+00,ANSWERED,2025-10-20 17:13:45.000000+00,
151,79,7,1,2023-01-02 08:10:53.000000+00,2023-01-02 08:11:05.000000+00,2023-01-02 08:15:31.000000+00,ANSWERED,2023-01-02 08:15:31.000000+00,
152,80,9,1,2023-05-25 11:51:11.000000+00,,,MISSED,2023-05-25 11:53:11.000000+00,
153,80,9,2,2023-05-25 15:51:11.000000+00,,,MISSED,2023-05-25 15:53:11.000000+00,
154,80,9,3,2023-05-25 19:51:11.000000+00,,,MISSED,2023-05-25 19:53:11.000000+00,
155,80,9,4,2023-05-25 23:51:11.000000+00,2023-05-25 23:51:34.000000+00,2023-05-25 23:56:03.000000+00,ANSWERED,2023-05-25 23:56:03.000000+00,
156,81,10,1,2025-05-25 13:07:01.000000+00,,,MISSED,2025-05-25 13:09:01.000000+00,
157,81,10,2,2025-05-25 17:07:01.000000+00,2025-05-25 17:07:11.000000+00,2025-05-25 17:11:31.000000+00,ANSWERED,2025-05-25 17:11:31.000000+00,
158,82,9,1,2023-07-04 14:44:33.000000+00,,,MISSED,2023-07-04 14:46:33.000000+00,
159,82,9,2,2023-07-04 18:44:33.000000+00,,,MISSED,2023-07-04 18:46:33.000000+00,
160,82,9,3,2023-07-04 22:44:33.000000+00,,,MISSED,2023-07-04 22:46:33.000000+00,
161,83,9,1,2024-01-13 13:13:15.000000+00,2024-01-13 13:13:36.000000+00,2024-01-13 13:15:41.000000+00,ANSWERED,2024-01-13 13:15:41.000000+00,
162,84,6,1,2023-05-20 00:38:55.000000+00,,,MISSED,2023-05-20 00:40:55.000000+00,
163,84,6,2,2023-05-20 02:38:55.000000+00,,,MISSED,2023-05-20 02:40:55.000000+00,
164,84,6,3,2023-05-20 04:38:55.000000+00,2023-05-20 04:39:05.000000+00,2023-05-20 04:43:30.000000+00,ANSWERED,2023-05-20 04:43:30.000000+00,
165,85,8,1,2025-01-01 13:52:57.000000+00,,,MISSED,2025-01-01 13:54:57.000000+00,
166,85,8,2,2025-01-01 17:52:57.000000+00,2025-01-01 17:53:16.000000+00,2025-01-01 17:56:49.000000+00,ANSWERED,2025-01-01 17:56:49.000000+00,
167,86,9,1,2025-01-12 02:34:33.000000+00,,,MISSED,2025-01-12 02:36:33.000000+00,
168,86,9,2,2025-01-12 04:34:33.000000+00,2025-01-12 04:34:44.000000+00,2025-01-12 04:38:32.000000+00,ANSWERED,2025-01-12 04:38:32.000000+00,
169,87,7,1,2022-07-23 09:56:20.000000+00,,,MISSED,2022-07-23 09:58:20.000000+00,
170,87,7,2,2022-07-23 11:56:20.000000+00,,,MISSED,2022-07-23 11:58:20.000000+00,
171,87,7,3,2022-07-23 13:56:20.000000+00,,,MISSED,2022-07-23 13:58:20.000000+00,
172,87,7,4,2022-07-23 15:56:20.000000+00,2022-07-23 15:56:42.000000+00,2022-07-23 15:59:55.000000+00,ANSWERED,2022-07-23 15:59:55.000000+00,
173,88,6,1,2024-09-10 10:48:06.000000+00,2024-09-10 10:48:22.000000+00,2024-09-10 10:50:05.000000+00,ANSWERED,2024-09-10 10:50:05.000000+00,
174,89,7,1,2025-01-18 15:59:44.000000+00,,,MISSED,2025-01-18 16:01:44.000000+00,
175,89,7,2,2025-01-18 23:59:44.000000+00,2025-01-19 00:00:08.000000+00,2025-01-19 00:01:56.000000+00,ANSWERED,2025-01-19 00:01:56.000000+00,
176,90,7,1,2025-03-06 13:59:32.000000+00,,,INITIATED,2025-03-06 13:59:32.000000+00,
177,91,9,1,2025-06-22 10:17:53.000000+00,,,MISSED,2025-06-22 10:19:53.000000+00,
178,91,9,2,2025-06-22 14:17:53.000000+00,,,MISSED,2025-06-22 14:19:53.000000+00,
179,91,9,3,2025-06-22 18:17:53.000000+00,,,MISSED,2025-06-22 18:19:53.000000+00,
180,92,6,1,2023-08-09 21:29:25.000000+00,2023-08-09 21:29:38.000000+00,2023-08-09 21:32:54.000000+00,ANSWERED,2023-08-09 21:32:54.000000+00,
181,93,10,1,2023-06-20 10:54:30.000000+00,,,MISSED,2023-06-20 10:56:30.000000+00,
182,93,10,2,2023-06-20 14:54:30.000000+00,,,MISSED,2023-06-20 14:56:30.000000+00,
183,94,10,1,2023-12-23 13:40:40.000000+00,,,MISSED,2023-12-23 13:42:40.000000+00,
184,94,10,2,2023-12-23 21:40:40.000000+00,,,MISSED,2023-12-23 21:42:40.000000+00,
185,94,10,3,2023-12-24 05:40:40.000000+00,,,MISSED,2023-12-24 05:42:40.000000+00,
186,95,10,1,2022-05-21 18:52:29.000000+00,,,MISSED,2022-05-21 18:54:29.000000+00,
187,95,10,2,2022-05-21 22:52:29.000000+00,,,MISSED,2022-05-21 22:54:29.000000+00,
188,95,10,3,2022-05-22 02:52:29.000000+00,2022-05-22 02:52:42.000000+00,2022-05-22 02:55:40.000000+00,ANSWERED,2022-05-22 02:55:40.000000+00,
189,96,9,1,2023-11-14 19:11:32.000000+00,2023-11-14 19:11:48.000000+00,2023-11-14 19:16:36.000000+00,ANSWERED,2023-11-14 19:16:36.000000+00,
190,97,10,1,2024-10-15 10:58:59.000000+00,,,MISSED,2024-10-15 11:00:59.000000+00,
191,97,10,2,2024-10-15 14:58:59.000000+00,2024-10-15 14:59:08.000000+00,2024-10-15 15:01:28.000000+00,ANSWERED,2024-10-15 15:01:28.000000+00,
192,98,9,1,2023-10-02 22:19:47.000000+00,,,MISSED,2023-10-02 22:21:47.000000+00,
193,98,9,2,2023-10-03 00:19:47.000000+00,,,MISSED,2023-10-03 00:21:47.000000+00,
194,98,9,3,2023-10-03 02:19:47.000000+00,,,MISSED,2023-10-03 02:21:47.000000+00,
195,99,10,1,2024-05-05 10:25:41.000000+00,,,MISSED,2024-05-05 10:27:41.000000+00,
196,99,10,2,2024-05-05 14:25:41.000000+00,,,MISSED,2024-05-05 14:27:41.000000+00,
197,99,10,3,2024-05-05 18:25:41.000000+00,,,MISSED,2024-05-05 18:27:41.000000+00,
198,99,10,4,2024-05-05 22:25:41.000000+00,,,MISSED,2024-05-05 22:27:41.000000+00,
199,100,10,1,2024-05-13 15:10:58.000000+00,,,MISSED,2024-05-13 15:12:58.000000+00,
200,100,10,2,2024-05-13 19:10:58.000000+00,2024-05-13 19:11:17.000000+00,2024-05-13 19:14:57.000000+00,ANSWERED,2024-05-13 19:14:57.000000+00,
201,101,7,1,2025-06-09 11:06:36.000000+00,2025-06-09 11:06:54.000000+00,2025-06-09 11:09:09.000000+00,ANSWERED,2025-06-09 11:09:09.000000+00,
202,102,7,1,2025-10-19 17:33:00.000000+00,2025-10-19 17:33:09.000000+00,2025-10-19 17:35:37.000000+00,ANSWERED,2025-10-19 17:35:37.000000+00,
203,103,8,1,2025-03-26 15:51:07.000000+00,,,MISSED,2025-03-26 15:53:07.000000+00,
204,103,8,2,2025-03-26 19:51:07.000000+00,,,MISSED,2025-03-26 19:53:07.000000+00,
205,103,8,3,2025-03-26 23:51:07.000000+00,,,MISSED,2025-03-26 23:53:07.000000+00,
206,103,8,4,2025-03-27 03:51:07.000000+00,,,MISSED,2025-03-27 03:53:07.000000+00,
207,103,8,5,2025-03-27 07:51:07.000000+00,,,MISSED,2025-03-27 07:53:07.000000+00,
208,104,10,1,2022-07-22 18:53:06.000000+00,,,INITIATED,2022-07-22 18:53:06.000000+00,
209,105,9,1,2023-02-17 03:36:55.000000+00,,,MISSED,2023-02-17 03:38:55.000000+00,
210,105,9,2,2023-02-17 05:36:55.000000+00,2023-02-17 05:37:11.000000+00,2023-02-17 05:40:55.000000+00,ANSWERED,2023-02-17 05:40:55.000000+00,
211,106,6,1,2023-06-27 13:47:32.000000+00,,,MISSED,2023-06-27 13:49:32.000000+00,
212,106,6,2,2023-06-27 21:47:32.000000+00,,,MISSED,2023-06-27 21:49:32.000000+00,
213,106,6,3,2023-06-28 05:47:32.000000+00,2023-06-28 05:47:52.000000+00,2023-06-28 05:51:38.000000+00,ANSWERED,2023-06-28 05:51:38.000000+00,
