id,issue_id,uploaded_by_user_id,image_url,image_type,ai_flag,ai_details,created_at,updated_at
146,107,1,https://ik.imagekit.io/facility/issues/107/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-06-08 13:59:16.000000+00,2024-06-08 13:59:16.000000+00
147,107,10,https://ik.imagekit.io/facility/issues/107/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-06-18 13:59:16.000000+00,2024-06-18 13:59:16.000000+00
148,109,1,https://ik.imagekit.io/facility/issues/109/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-06-17 12:10:28.000000+00,2024-06-17 12:10:28.000000+00
149,109,9,https://ik.imagekit.io/facility/issues/109/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-01 12:10:28.000000+00,2024-07-01 12:10:28.000000+00
150,110,1,https://ik.imagekit.io/facility/issues/110/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-06-22 16:16:07.000000+00,2024-06-22 16:16:07.000000+00
151,110,9,https://ik.imagekit.io/facility/issues/110/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-05 16:16:07.000000+00,2024-07-05 16:16:07.000000+00
152,111,1,https://ik.imagekit.io/facility/issues/111/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-06-23 16:03:05.000000+00,2024-06-23 16:03:05.000000+00
153,111,6,https://ik.imagekit.io/facility/issues/111/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-02 16:03:05.000000+00,2024-07-02 16:03:05.000000+00
154,112,1,https://ik.imagekit.io/facility/issues/112/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-06-25 12:00:07.000000+00,2024-06-25 12:00:07.000000+00
155,112,9,https://ik.imagekit.io/facility/issues/112/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-04 12:00:07.000000+00,2024-07-04 12:00:07.000000+00
156,113,1,https://ik.imagekit.io/facility/issues/113/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-06-29 17:55:02.000000+00,2024-06-29 17:55:02.000000+00
157,113,8,https://ik.imagekit.io/facility/issues/113/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-08 17:55:02.000000+00,2024-07-08 17:55:02.000000+00
158,114,9,https://ik.imagekit.io/facility/issues/114/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-10 15:56:26.000000+00,2024-07-10 15:56:26.000000+00
159,115,1,https://ik.imagekit.io/facility/issues/115/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-07-02 12:02:54.000000+00,2024-07-02 12:02:54.000000+00
160,116,1,https://ik.imagekit.io/facility/issues/116/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-07-13 12:17:55.000000+00,2024-07-13 12:17:55.000000+00
161,116,9,https://ik.imagekit.io/facility/issues/116/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-23 12:17:55.000000+00,2024-07-23 12:17:55.000000+00
162,117,9,https://ik.imagekit.io/facility/issues/117/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-08-02 10:16:02.000000+00,2024-08-02 10:16:02.000000+00
163,118,1,https://ik.imagekit.io/facility/issues/118/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-07-26 11:45:27.000000+00,2024-07-26 11:45:27.000000+00
164,118,6,https://ik.imagekit.io/facility/issues/118/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-07-31 11:45:27.000000+00,2024-07-31 11:45:27.000000+00
165,119,1,https://ik.imagekit.io/facility/issues/119/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-07-27 11:26:20.000000+00,2024-07-27 11:26:20.000000+00
166,119,10,https://ik.imagekit.io/facility/issues/119/after-1.jpg,AFTER,SUSPECT,"{""confidence"":0.61,""suspect_reason"":""work incomplete""}",2024-08-10 11:26:20.000000+00,2024-08-10 11:26:20.000000+00
167,120,1,https://ik.imagekit.io/facility/issues/120/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-07-28 11:13:27.000000+00,2024-07-28 11:13:27.000000+00
168,120,9,https://ik.imagekit.io/facility/issues/120/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-08-08 11:13:27.000000+00,2024-08-08 11:13:27.000000+00
169,121,1,https://ik.imagekit.io/facility/issues/121/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-08-02 13:05:52.000000+00,2024-08-02 13:05:52.000000+00
170,122,1,https://ik.imagekit.io/facility/issues/122/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-08-04 15:29:26.000000+00,2024-08-04 15:29:26.000000+00
171,122,9,https://ik.imagekit.io/facility/issues/122/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-08-11 15:29:26.000000+00,2024-08-11 15:29:26.000000+00
172,123,1,https://ik.imagekit.io/facility/issues/123/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-08-13 15:44:33.000000+00,2024-08-13 15:44:33.000000+00
173,123,8,https://ik.imagekit.io/facility/issues/123/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-08-18 15:44:33.000000+00,2024-08-18 15:44:33.000000+00
174,124,1,https://ik.imagekit.io/facility/issues/124/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-08-31 13:48:57.000000+00,2024-08-31 13:48:57.000000+00
175,124,6,https://ik.imagekit.io/facility/issues/124/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-09-12 13:48:57.000000+00,2024-09-12 13:48:57.000000+00
176,125,1,https://ik.imagekit.io/facility/issues/125/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-09-01 16:17:49.000000+00,2024-09-01 16:17:49.000000+00
177,126,1,https://ik.imagekit.io/facility/issues/126/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-09-16 16:05:08.000000+00,2024-09-16 16:05:08.000000+00
178,127,1,https://ik.imagekit.io/facility/issues/127/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-09-19 10:26:24.000000+00,2024-09-19 10:26:24.000000+00
179,128,1,https://ik.imagekit.io/facility/issues/128/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-10-07 16:53:26.000000+00,2024-10-07 16:53:26.000000+00
180,129,1,https://ik.imagekit.io/facility/issues/129/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-10-11 12:10:53.000000+00,2024-10-11 12:10:53.000000+00
181,129,6,https://ik.imagekit.io/facility/issues/129/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-10-24 12:10:53.000000+00,2024-10-24 12:10:53.000000+00
182,130,1,https://ik.imagekit.io/facility/issues/130/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-10-17 09:24:20.000000+00,2024-10-17 09:24:20.000000+00
183,130,10,https://ik.imagekit.io/facility/issues/130/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-10-27 09:24:20.000000+00,2024-10-27 09:24:20.000000+00
184,131,1,https://ik.imagekit.io/facility/issues/131/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-10-18 08:34:03.000000+00,2024-10-18 08:34:03.000000+00
185,131,8,https://ik.imagekit.io/facility/issues/131/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-11-01 08:34:03.000000+00,2024-11-01 08:34:03.000000+00
186,132,1,https://ik.imagekit.io/facility/issues/132/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-10-29 11:30:42.000000+00,2024-10-29 11:30:42.000000+00
187,132,6,https://ik.imagekit.io/facility/issues/132/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-11-06 11:30:42.000000+00,2024-11-06 11:30:42.000000+00
188,133,1,https://ik.imagekit.io/facility/issues/133/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-11-18 15:10:19.000000+00,2024-11-18 15:10:19.000000+00
189,133,6,https://ik.imagekit.io/facility/issues/133/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-12-01 15:10:19.000000+00,2024-12-01 15:10:19.000000+00
190,134,1,https://ik.imagekit.io/facility/issues/134/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-12-14 13:53:40.000000+00,2024-12-14 13:53:40.000000+00
191,134,7,https://ik.imagekit.io/facility/issues/134/after-1.jpg,AFTER,SUSPECT,"{""confidence"":0.61,""suspect_reason"":""work incomplete""}",2024-12-27 13:53:40.000000+00,2024-12-27 13:53:40.000000+00
192,135,1,https://ik.imagekit.io/facility/issues/135/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-01-17 12:32:41.000000+00,2025-01-17 12:32:41.000000+00
193,135,10,https://ik.imagekit.io/facility/issues/135/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-01-22 12:32:41.000000+00,2025-01-22 12:32:41.000000+00
194,136,1,https://ik.imagekit.io/facility/issues/136/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-02-09 14:41:17.000000+00,2025-02-09 14:41:17.000000+00
195,137,1,https://ik.imagekit.io/facility/issues/137/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-02-15 16:15:48.000000+00,2025-02-15 16:15:48.000000+00
196,137,6,https://ik.imagekit.io/facility/issues/137/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-02-26 16:15:48.000000+00,2025-02-26 16:15:48.000000+00
197,138,1,https://ik.imagekit.io/facility/issues/138/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-02-20 11:38:44.000000+00,2025-02-20 11:38:44.000000+00
198,139,1,https://ik.imagekit.io/facility/issues/139/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-02-24 14:41:45.000000+00,2025-02-24 14:41:45.000000+00
199,139,8,https://ik.imagekit.io/facility/issues/139/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-03-03 14:41:45.000000+00,2025-03-03 14:41:45.000000+00
200,140,1,https://ik.imagekit.io/facility/issues/140/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-02-27 12:47:35.000000+00,2025-02-27 12:47:35.000000+00
201,141,1,https://ik.imagekit.io/facility/issues/141/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-03-11 17:44:11.000000+00,2025-03-11 17:44:11.000000+00
202,141,7,https://ik.imagekit.io/facility/issues/141/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-03-24 17:44:11.000000+00,2025-03-24 17:44:11.000000+00
203,142,1,https://ik.imagekit.io/facility/issues/142/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-03-16 08:34:08.000000+00,2025-03-16 08:34:08.000000+00
204,143,1,https://ik.imagekit.io/facility/issues/143/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-03-20 12:11:03.000000+00,2025-03-20 12:11:03.000000+00
205,144,1,https://ik.imagekit.io/facility/issues/144/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-03-30 17:05:15.000000+00,2025-03-30 17:05:15.000000+00
206,144,9,https://ik.imagekit.io/facility/issues/144/after-1.jpg,AFTER,SUSPECT,"{""confidence"":0.61,""suspect_reason"":""work incomplete""}",2025-04-12 17:05:15.000000+00,2025-04-12 17:05:15.000000+00
207,145,1,https://ik.imagekit.io/facility/issues/145/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-04-03 13:27:19.000000+00,2025-04-03 13:27:19.000000+00
208,145,7,https://ik.imagekit.io/facility/issues/145/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-04-08 13:27:19.000000+00,2025-04-08 13:27:19.000000+00
209,146,1,https://ik.imagekit.io/facility/issues/146/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-04-10 09:00:26.000000+00,2025-04-10 09:00:26.000000+00
210,146,10,https://ik.imagekit.io/facility/issues/146/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-04-17 09:00:26.000000+00,2025-04-17 09:00:26.000000+00
211,147,1,https://ik.imagekit.io/facility/issues/147/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-04-23 15:40:37.000000+00,2025-04-23 15:40:37.000000+00
212,147,9,https://ik.imagekit.io/facility/issues/147/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-04-30 15:40:37.000000+00,2025-04-30 15:40:37.000000+00
213,148,1,https://ik.imagekit.io/facility/issues/148/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-04-25 13:52:36.000000+00,2025-04-25 13:52:36.000000+00
214,148,8,https://ik.imagekit.io/facility/issues/148/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-05-03 13:52:36.000000+00,2025-05-03 13:52:36.000000+00
215,149,1,https://ik.imagekit.io/facility/issues/149/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-04-26 16:47:20.000000+00,2025-04-26 16:47:20.000000+00
216,149,7,https://ik.imagekit.io/facility/issues/149/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-05-10 16:47:20.000000+00,2025-05-10 16:47:20.000000+00
217,150,1,https://ik.imagekit.io/facility/issues/150/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-05-02 13:28:58.000000+00,2025-05-02 13:28:58.000000+00
218,150,8,https://ik.imagekit.io/facility/issues/150/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-05-13 13:28:58.000000+00,2025-05-13 13:28:58.000000+00
219,151,1,https://ik.imagekit.io/facility/issues/151/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-05-03 10:26:44.000000+00,2025-05-03 10:26:44.000000+00
220,152,1,https://ik.imagekit.io/facility/issues/152/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-05-07 15:55:32.000000+00,2025-05-07 15:55:32.000000+00
221,152,9,https://ik.imagekit.io/facility/issues/152/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-05-14 15:55:32.000000+00,2025-05-14 15:55:32.000000+00
222,153,1,https://ik.imagekit.io/facility/issues/153/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-05-22 13:59:18.000000+00,2025-05-22 13:59:18.000000+00
223,153,10,https://ik.imagekit.io/facility/issues/153/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-06-05 13:59:18.000000+00,2025-06-05 13:59:18.000000+00
224,154,1,https://ik.imagekit.io/facility/issues/154/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-05-28 12:14:53.000000+00,2025-05-28 12:14:53.000000+00
225,154,8,https://ik.imagekit.io/facility/issues/154/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-06-03 12:14:53.000000+00,2025-06-03 12:14:53.000000+00
226,155,1,https://ik.imagekit.io/facility/issues/155/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-06-07 12:29:35.000000+00,2025-06-07 12:29:35.000000+00
227,155,7,https://ik.imagekit.io/facility/issues/155/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-06-19 12:29:35.000000+00,2025-06-19 12:29:35.000000+00
228,156,1,https://ik.imagekit.io/facility/issues/156/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-06-12 11:00:18.000000+00,2025-06-12 11:00:18.000000+00
229,158,1,https://ik.imagekit.io/facility/issues/158/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-06-30 12:42:50.000000+00,2025-06-30 12:42:50.000000+00
230,159,1,https://ik.imagekit.io/facility/issues/159/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-07-05 16:06:33.000000+00,2025-07-05 16:06:33.000000+00
231,160,1,https://ik.imagekit.io/facility/issues/160/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-08-03 14:54:21.000000+00,2025-08-03 14:54:21.000000+00
232,160,9,https://ik.imagekit.io/facility/issues/160/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-08-17 14:54:21.000000+00,2025-08-17 14:54:21.000000+00
233,161,1,https://ik.imagekit.io/facility/issues/161/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-08-25 11:14:47.000000+00,2025-08-25 11:14:47.000000+00
234,161,9,https://ik.imagekit.io/facility/issues/161/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-08-30 11:14:47.000000+00,2025-08-30 11:14:47.000000+00
235,162,1,https://ik.imagekit.io/facility/issues/162/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-08-26 15:18:22.000000+00,2025-08-26 15:18:22.000000+00
236,162,8,https://ik.imagekit.io/facility/issues/162/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-09-05 15:18:22.000000+00,2025-09-05 15:18:22.000000+00
237,163,1,https://ik.imagekit.io/facility/issues/163/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-08-27 14:31:58.000000+00,2025-08-27 14:31:58.000000+00
238,163,7,https://ik.imagekit.io/facility/issues/163/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-09-04 14:31:58.000000+00,2025-09-04 14:31:58.000000+00
239,164,1,https://ik.imagekit.io/facility/issues/164/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-09-11 11:34:10.000000+00,2025-09-11 11:34:10.000000+00
240,164,8,https://ik.imagekit.io/facility/issues/164/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-09-19 11:34:10.000000+00,2025-09-19 11:34:10.000000+00
241,165,1,https://ik.imagekit.io/facility/issues/165/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-09-21 18:54:30.000000+00,2025-09-21 18:54:30.000000+00
242,165,6,https://ik.imagekit.io/facility/issues/165/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-10-04 18:54:30.000000+00,2025-10-04 18:54:30.000000+00
243,166,1,https://ik.imagekit.io/facility/issues/166/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-09-24 11:36:55.000000+00,2025-09-24 11:36:55.000000+00
244,166,6,https://ik.imagekit.io/facility/issues/166/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-10-02 11:36:55.000000+00,2025-10-02 11:36:55.000000+00
245,167,1,https://ik.imagekit.io/facility/issues/167/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-10-05 14:46:49.000000+00,2025-10-05 14:46:49.000000+00
246,169,1,https://ik.imagekit.io/facility/issues/169/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-10-27 15:30:51.000000+00,2025-10-27 15:30:51.000000+00
247,169,10,https://ik.imagekit.io/facility/issues/169/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-11-01 15:30:51.000000+00,2025-11-01 15:30:51.000000+00
248,170,1,https://ik.imagekit.io/facility/issues/170/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-10-31 12:50:25.000000+00,2025-10-31 12:50:25.000000+00
249,170,8,https://ik.imagekit.io/facility/issues/170/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-11-14 12:50:25.000000+00,2025-11-14 12:50:25.000000+00
250,171,1,https://ik.imagekit.io/facility/issues/171/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-11-12 08:56:35.000000+00,2025-11-12 08:56:35.000000+00
251,171,10,https://ik.imagekit.io/facility/issues/171/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-11-26 08:56:35.000000+00,2025-11-26 08:56:35.000000+00
252,172,1,https://ik.imagekit.io/facility/issues/172/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-11-28 09:31:07.000000+00,2025-11-28 09:31:07.000000+00
253,172,6,https://ik.imagekit.io/facility/issues/172/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-12-07 09:31:07.000000+00,2025-12-07 09:31:07.000000+00
254,173,1,https://ik.imagekit.io/facility/issues/173/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-12-03 16:41:06.000000+00,2025-12-03 16:41:06.000000+00
255,173,9,https://ik.imagekit.io/facility/issues/173/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-12-11 16:41:06.000000+00,2025-12-11 16:41:06.000000+00
256,174,1,https://ik.imagekit.io/facility/issues/174/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-12-13 11:43:23.000000+00,2025-12-13 11:43:23.000000+00
257,174,10,https://ik.imagekit.io/facility/issues/174/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2025-12-21 11:43:23.000000+00,2025-12-21 11:43:23.000000+00
258,175,1,https://ik.imagekit.io/facility/issues/175/before-1.jpg,BEFORE,NOT_CHECKED,{},2025-12-25 14:01:03.000000+00,2025-12-25 14:01:03.000000+00
259,176,7,https://ik.imagekit.io/facility/issues/176/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2026-01-12 16:21:49.000000+00,2026-01-12 16:21:49.000000+00
260,177,2,https://ik.imagekit.io/facility/issues/177/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-01-26 11:20:42.000000+00,2024-01-26 11:20:42.000000+00
261,178,2,https://ik.imagekit.io/facility/issues/178/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-02-06 14:51:08.000000+00,2024-02-06 14:51:08.000000+00
262,178,10,https://ik.imagekit.io/facility/issues/178/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-02-16 14:51:08.000000+00,2024-02-16 14:51:08.000000+00
263,179,2,https://ik.imagekit.io/facility/issues/179/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-03-01 11:36:32.000000+00,2024-03-01 11:36:32.000000+00
264,179,7,https://ik.imagekit.io/facility/issues/179/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-03-06 11:36:32.000000+00,2024-03-06 11:36:32.000000+00
265,180,2,https://ik.imagekit.io/facility/issues/180/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-04-02 15:54:35.000000+00,2024-04-02 15:54:35.000000+00
266,181,2,https://ik.imagekit.io/facility/issues/181/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-04-06 11:00:11.000000+00,2024-04-06 11:00:11.000000+00
267,182,2,https://ik.imagekit.io/facility/issues/182/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-04-07 11:23:19.000000+00,2024-04-07 11:23:19.000000+00
268,182,6,https://ik.imagekit.io/facility/issues/182/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-04-13 11:23:19.000000+00,2024-04-13 11:23:19.000000+00
269,183,2,https://ik.imagekit.io/facility/issues/183/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-04-16 12:28:26.000000+00,2024-04-16 12:28:26.000000+00
270,183,8,https://ik.imagekit.io/facility/issues/183/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-04-21 12:28:26.000000+00,2024-04-21 12:28:26.000000+00
271,184,2,https://ik.imagekit.io/facility/issues/184/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-04-16 11:38:03.000000+00,2024-04-16 11:38:03.000000+00
272,185,2,https://ik.imagekit.io/facility/issues/185/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-04-20 10:24:34.000000+00,2024-04-20 10:24:34.000000+00
273,186,2,https://ik.imagekit.io/facility/issues/186/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-05-02 13:45:40.000000+00,2024-05-02 13:45:40.000000+00
274,186,8,https://ik.imagekit.io/facility/issues/186/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-05-11 13:45:40.000000+00,2024-05-11 13:45:40.000000+00
275,188,2,https://ik.imagekit.io/facility/issues/188/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-07-26 13:12:57.000000+00,2024-07-26 13:12:57.000000+00
276,189,2,https://ik.imagekit.io/facility/issues/189/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-08-17 10:48:41.000000+00,2024-08-17 10:48:41.000000+00
277,190,2,https://ik.imagekit.io/facility/issues/190/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-08-22 10:04:30.000000+00,2024-08-22 10:04:30.000000+00
278,191,2,https://ik.imagekit.io/facility/issues/191/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-09-06 09:53:18.000000+00,2024-09-06 09:53:18.000000+00
