id,issue_id,changed_by_user_id,old_status,new_status,action_type,details,created_at,updated_at
298,97,1.0,,OPEN,ASSIGN,Issue created via chat,2024-02-07 17:05:46.000000+00,2024-02-07 17:05:46.000000+00
299,97,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-02-07 18:05:46.000000+00,2024-02-07 18:05:46.000000+00
300,97,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-02-07 20:05:46.000000+00,2024-02-07 20:05:46.000000+00
301,97,,IN_PROGRESS,ESCALATED,UPDATE,Auto-escalated: solver missed calls,2024-02-08 06:05:46.000000+00,2024-02-08 06:05:46.000000+00
302,98,1.0,,OPEN,ASSIGN,Issue created via chat,2024-02-17 10:34:48.000000+00,2024-02-17 10:34:48.000000+00
303,98,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-02-17 11:34:48.000000+00,2024-02-17 11:34:48.000000+00
304,98,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-02-17 14:34:48.000000+00,2024-02-17 14:34:48.000000+00
305,99,1.0,,OPEN,ASSIGN,Issue created via chat,2024-03-13 09:01:37.000000+00,2024-03-13 09:01:37.000000+00
306,99,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-03-13 10:01:37.000000+00,2024-03-13 10:01:37.000000+00
307,99,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-03-13 17:01:37.000000+00,2024-03-13 17:01:37.000000+00
308,99,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-03-28 17:01:37.000000+00,2024-03-28 17:01:37.000000+00
309,100,1.0,,OPEN,ASSIGN,Issue created via chat,2024-03-18 11:42:31.000000+00,2024-03-18 11:42:31.000000+00
310,100,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-03-18 12:42:31.000000+00,2024-03-18 12:42:31.000000+00
311,100,7.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-03-18 20:42:31.000000+00,2024-03-18 20:42:31.000000+00
312,100,7.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-03-29 20:42:31.000000+00,2024-03-29 20:42:31.000000+00
313,101,1.0,,OPEN,ASSIGN,Issue created via chat,2024-03-22 09:27:22.000000+00,2024-03-22 09:27:22.000000+00
314,101,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-03-22 10:27:22.000000+00,2024-03-22 10:27:22.000000+00
315,101,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-03-22 13:27:22.000000+00,2024-03-22 13:27:22.000000+00
316,101,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-03-24 13:27:22.000000+00,2024-03-24 13:27:22.000000+00
317,101,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-03-27 13:27:22.000000+00,2024-03-27 13:27:22.000000+00
318,102,1.0,,OPEN,ASSIGN,Issue created via chat,2024-03-25 15:06:15.000000+00,2024-03-25 15:06:15.000000+00
319,102,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-03-25 16:06:15.000000+00,2024-03-25 16:06:15.000000+00
320,102,7.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-03-25 22:06:15.000000+00,2024-03-25 22:06:15.000000+00
321,103,1.0,,OPEN,ASSIGN,Issue created via chat,2024-03-28 13:03:41.000000+00,2024-03-28 13:03:41.000000+00
322,103,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-03-28 14:03:41.000000+00,2024-03-28 14:03:41.000000+00
323,103,7.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-03-28 17:03:41.000000+00,2024-03-28 17:03:41.000000+00
324,104,1.0,,OPEN,ASSIGN,Issue created via chat,2024-05-07 09:24:00.000000+00,2024-05-07 09:24:00.000000+00
325,104,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-05-07 10:24:00.000000+00,2024-05-07 10:24:00.000000+00
326,104,8.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-05-07 12:24:00.000000+00,2024-05-07 12:24:00.000000+00
327,104,8.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-05-21 12:24:00.000000+00,2024-05-21 12:24:00.000000+00
328,104,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-05-24 12:24:00.000000+00,2024-05-24 12:24:00.000000+00
329,105,1.0,,OPEN,ASSIGN,Issue created via chat,2024-05-13 13:34:03.000000+00,2024-05-13 13:34:03.000000+00
330,105,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-05-13 14:34:03.000000+00,2024-05-13 14:34:03.000000+00
331,105,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-05-13 22:34:03.000000+00,2024-05-13 22:34:03.000000+00
332,105,,IN_PROGRESS,ESCALATED,UPDATE,Auto-escalated: solver missed calls,2024-05-14 18:34:03.000000+00,2024-05-14 18:34:03.000000+00
333,106,1.0,,OPEN,ASSIGN,Issue created via chat,2024-05-18 13:43:55.000000+00,2024-05-18 13:43:55.000000+00
334,106,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-05-18 14:43:55.000000+00,2024-05-18 14:43:55.000000+00
335,106,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-05-18 21:43:55.000000+00,2024-05-18 21:43:55.000000+00
336,106,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-05-29 21:43:55.000000+00,2024-05-29 21:43:55.000000+00
337,106,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-05-31 21:43:55.000000+00,2024-05-31 21:43:55.000000+00
338,107,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-08 13:59:16.000000+00,2024-06-08 13:59:16.000000+00
339,107,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-08 14:59:16.000000+00,2024-06-08 14:59:16.000000+00
340,107,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-06-08 17:59:16.000000+00,2024-06-08 17:59:16.000000+00
341,107,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-06-18 17:59:16.000000+00,2024-06-18 17:59:16.000000+00
342,107,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-06-21 17:59:16.000000+00,2024-06-21 17:59:16.000000+00
343,108,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-15 09:29:39.000000+00,2024-06-15 09:29:39.000000+00
344,108,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-15 10:29:39.000000+00,2024-06-15 10:29:39.000000+00
345,108,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-06-15 16:29:39.000000+00,2024-06-15 16:29:39.000000+00
346,108,,IN_PROGRESS,ESCALATED,UPDATE,Auto-escalated: solver missed calls,2024-06-15 22:29:39.000000+00,2024-06-15 22:29:39.000000+00
347,109,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-17 12:10:28.000000+00,2024-06-17 12:10:28.000000+00
348,109,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-17 13:10:28.000000+00,2024-06-17 13:10:28.000000+00
349,109,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-06-17 19:10:28.000000+00,2024-06-17 19:10:28.000000+00
350,109,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-01 19:10:28.000000+00,2024-07-01 19:10:28.000000+00
351,109,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-03 19:10:28.000000+00,2024-07-03 19:10:28.000000+00
352,110,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-22 16:16:07.000000+00,2024-06-22 16:16:07.000000+00
353,110,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-22 17:16:07.000000+00,2024-06-22 17:16:07.000000+00
354,110,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-06-23 00:16:07.000000+00,2024-06-23 00:16:07.000000+00
355,110,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-08 00:16:07.000000+00,2024-07-08 00:16:07.000000+00
356,110,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-11 00:16:07.000000+00,2024-07-11 00:16:07.000000+00
357,111,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-23 16:03:05.000000+00,2024-06-23 16:03:05.000000+00
358,111,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-23 17:03:05.000000+00,2024-06-23 17:03:05.000000+00
359,111,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-06-23 19:03:05.000000+00,2024-06-23 19:03:05.000000+00
360,111,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-02 19:03:05.000000+00,2024-07-02 19:03:05.000000+00
361,111,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-04 19:03:05.000000+00,2024-07-04 19:03:05.000000+00
362,112,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-25 12:00:07.000000+00,2024-06-25 12:00:07.000000+00
363,112,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-25 13:00:07.000000+00,2024-06-25 13:00:07.000000+00
364,112,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-06-25 18:00:07.000000+00,2024-06-25 18:00:07.000000+00
365,112,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-04 18:00:07.000000+00,2024-07-04 18:00:07.000000+00
366,112,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-05 18:00:07.000000+00,2024-07-05 18:00:07.000000+00
367,113,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-29 17:55:02.000000+00,2024-06-29 17:55:02.000000+00
368,113,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-29 18:55:02.000000+00,2024-06-29 18:55:02.000000+00
369,113,8.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-06-30 01:55:02.000000+00,2024-06-30 01:55:02.000000+00
370,113,8.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-06 01:55:02.000000+00,2024-07-06 01:55:02.000000+00
371,113,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-08 01:55:02.000000+00,2024-07-08 01:55:02.000000+00
372,114,1.0,,OPEN,ASSIGN,Issue created via chat,2024-06-30 15:56:26.000000+00,2024-06-30 15:56:26.000000+00
373,114,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-06-30 16:56:26.000000+00,2024-06-30 16:56:26.000000+00
374,114,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-07-01 00:56:26.000000+00,2024-07-01 00:56:26.000000+00
375,114,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-13 00:56:26.000000+00,2024-07-13 00:56:26.000000+00
376,114,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-16 00:56:26.000000+00,2024-07-16 00:56:26.000000+00
377,115,1.0,,OPEN,ASSIGN,Issue created via chat,2024-07-02 12:02:54.000000+00,2024-07-02 12:02:54.000000+00
378,115,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-07-02 13:02:54.000000+00,2024-07-02 13:02:54.000000+00
379,115,8.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-07-02 17:02:54.000000+00,2024-07-02 17:02:54.000000+00
380,116,1.0,,OPEN,ASSIGN,Issue created via chat,2024-07-13 12:17:55.000000+00,2024-07-13 12:17:55.000000+00
381,116,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-07-13 13:17:55.000000+00,2024-07-13 13:17:55.000000+00
382,116,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-07-13 21:17:55.000000+00,2024-07-13 21:17:55.000000+00
383,116,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-24 21:17:55.000000+00,2024-07-24 21:17:55.000000+00
384,116,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-25 21:17:55.000000+00,2024-07-25 21:17:55.000000+00
385,117,1.0,,OPEN,ASSIGN,Issue created via chat,2024-07-24 10:16:02.000000+00,2024-07-24 10:16:02.000000+00
386,117,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-07-24 11:16:02.000000+00,2024-07-24 11:16:02.000000+00
387,117,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-07-24 13:16:02.000000+00,2024-07-24 13:16:02.000000+00
388,117,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-08-04 13:16:02.000000+00,2024-08-04 13:16:02.000000+00
389,117,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-08-07 13:16:02.000000+00,2024-08-07 13:16:02.000000+00
390,118,1.0,,OPEN,ASSIGN,Issue created via chat,2024-07-26 11:45:27.000000+00,2024-07-26 11:45:27.000000+00
391,118,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-07-26 12:45:27.000000+00,2024-07-26 12:45:27.000000+00
392,118,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-07-26 18:45:27.000000+00,2024-07-26 18:45:27.000000+00
393,118,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-07-28 18:45:27.000000+00,2024-07-28 18:45:27.000000+00
394,118,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-07-31 18:45:27.000000+00,2024-07-31 18:45:27.000000+00
395,119,1.0,,OPEN,ASSIGN,Issue created via chat,2024-07-27 11:26:20.000000+00,2024-07-27 11:26:20.000000+00
396,119,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-07-27 12:26:20.000000+00,2024-07-27 12:26:20.000000+00
397,119,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-07-27 20:26:20.000000+00,2024-07-27 20:26:20.000000+00
398,119,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-08-09 20:26:20.000000+00,2024-08-09 20:26:20.000000+00
399,119,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-08-10 20:26:20.000000+00,2024-08-10 20:26:20.000000+00
400,120,1.0,,OPEN,ASSIGN,Issue created via chat,2024-07-28 11:13:27.000000+00,2024-07-28 11:13:27.000000+00
401,120,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-07-28 12:13:27.000000+00,2024-07-28 12:13:27.000000+00
402,120,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-07-28 20:13:27.000000+00,2024-07-28 20:13:27.000000+00
403,120,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-08-05 20:13:27.000000+00,2024-08-05 20:13:27.000000+00
404,120,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-08-08 20:13:27.000000+00,2024-08-08 20:13:27.000000+00
405,121,1.0,,OPEN,ASSIGN,Issue created via chat,2024-08-02 13:05:52.000000+00,2024-08-02 13:05:52.000000+00
406,121,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-08-02 14:05:52.000000+00,2024-08-02 14:05:52.000000+00
407,121,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-08-02 17:05:52.000000+00,2024-08-02 17:05:52.000000+00
408,121,,IN_PROGRESS,ESCALATED,UPDATE,Auto-escalated: solver missed calls,2024-08-03 11:05:52.000000+00,2024-08-03 11:05:52.000000+00
409,122,1.0,,OPEN,ASSIGN,Issue created via chat,2024-08-04 15:29:26.000000+00,2024-08-04 15:29:26.000000+00
410,122,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-08-04 16:29:26.000000+00,2024-08-04 16:29:26.000000+00
411,122,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-08-04 22:29:26.000000+00,2024-08-04 22:29:26.000000+00
412,122,9.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-08-11 22:29:26.000000+00,2024-08-11 22:29:26.000000+00
413,122,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-08-13 22:29:26.000000+00,2024-08-13 22:29:26.000000+00
414,123,1.0,,OPEN,ASSIGN,Issue created via chat,2024-08-13 15:44:33.000000+00,2024-08-13 15:44:33.000000+00
415,123,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-08-13 16:44:33.000000+00,2024-08-13 16:44:33.000000+00
416,123,8.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-08-13 18:44:33.000000+00,2024-08-13 18:44:33.000000+00
417,123,8.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-08-18 18:44:33.000000+00,2024-08-18 18:44:33.000000+00
418,124,1.0,,OPEN,ASSIGN,Issue created via chat,2024-08-31 13:48:57.000000+00,2024-08-31 13:48:57.000000+00
419,124,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-08-31 14:48:57.000000+00,2024-08-31 14:48:57.000000+00
420,124,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-08-31 20:48:57.000000+00,2024-08-31 20:48:57.000000+00
421,124,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-09-14 20:48:57.000000+00,2024-09-14 20:48:57.000000+00
422,124,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-09-15 20:48:57.000000+00,2024-09-15 20:48:57.000000+00
423,125,1.0,,OPEN,ASSIGN,Issue created via chat,2024-09-01 16:17:49.000000+00,2024-09-01 16:17:49.000000+00
424,125,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-09-01 17:17:49.000000+00,2024-09-01 17:17:49.000000+00
425,125,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-09-01 21:17:49.000000+00,2024-09-01 21:17:49.000000+00
426,125,,IN_PROGRESS,ESCALATED,UPDATE,Auto-escalated: solver missed calls,2024-09-02 19:17:49.000000+00,2024-09-02 19:17:49.000000+00
427,126,1.0,,OPEN,ASSIGN,Issue created via chat,2024-09-16 16:05:08.000000+00,2024-09-16 16:05:08.000000+00
428,126,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-09-16 17:05:08.000000+00,2024-09-16 17:05:08.000000+00
429,126,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-09-16 22:05:08.000000+00,2024-09-16 22:05:08.000000+00
430,127,1.0,,OPEN,ASSIGN,Issue created via chat,2024-09-19 10:26:24.000000+00,2024-09-19 10:26:24.000000+00
431,127,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-09-19 11:26:24.000000+00,2024-09-19 11:26:24.000000+00
432,127,9.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-09-19 17:26:24.000000+00,2024-09-19 17:26:24.000000+00
433,128,1.0,,OPEN,ASSIGN,Issue created via chat,2024-10-07 16:53:26.000000+00,2024-10-07 16:53:26.000000+00
434,128,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-10-07 17:53:26.000000+00,2024-10-07 17:53:26.000000+00
435,128,7.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-10-08 01:53:26.000000+00,2024-10-08 01:53:26.000000+00
436,129,1.0,,OPEN,ASSIGN,Issue created via chat,2024-10-11 12:10:53.000000+00,2024-10-11 12:10:53.000000+00
437,129,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-10-11 13:10:53.000000+00,2024-10-11 13:10:53.000000+00
438,129,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-10-11 19:10:53.000000+00,2024-10-11 19:10:53.000000+00
439,129,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-10-26 19:10:53.000000+00,2024-10-26 19:10:53.000000+00
440,129,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-10-27 19:10:53.000000+00,2024-10-27 19:10:53.000000+00
441,130,1.0,,OPEN,ASSIGN,Issue created via chat,2024-10-17 09:24:20.000000+00,2024-10-17 09:24:20.000000+00
442,130,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-10-17 10:24:20.000000+00,2024-10-17 10:24:20.000000+00
443,130,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-10-17 16:24:20.000000+00,2024-10-17 16:24:20.000000+00
444,130,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-10-29 16:24:20.000000+00,2024-10-29 16:24:20.000000+00
445,130,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-10-31 16:24:20.000000+00,2024-10-31 16:24:20.000000+00
446,131,1.0,,OPEN,ASSIGN,Issue created via chat,2024-10-18 08:34:03.000000+00,2024-10-18 08:34:03.000000+00
447,131,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-10-18 09:34:03.000000+00,2024-10-18 09:34:03.000000+00
448,131,8.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-10-18 13:34:03.000000+00,2024-10-18 13:34:03.000000+00
449,131,8.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-11-03 13:34:03.000000+00,2024-11-03 13:34:03.000000+00
450,131,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-11-05 13:34:03.000000+00,2024-11-05 13:34:03.000000+00
451,132,1.0,,OPEN,ASSIGN,Issue created via chat,2024-10-29 11:30:42.000000+00,2024-10-29 11:30:42.000000+00
452,132,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-10-29 12:30:42.000000+00,2024-10-29 12:30:42.000000+00
453,132,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-10-29 15:30:42.000000+00,2024-10-29 15:30:42.000000+00
454,132,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-11-08 15:30:42.000000+00,2024-11-08 15:30:42.000000+00
455,133,1.0,,OPEN,ASSIGN,Issue created via chat,2024-11-18 15:10:19.000000+00,2024-11-18 15:10:19.000000+00
456,133,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-11-18 16:10:19.000000+00,2024-11-18 16:10:19.000000+00
457,133,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-11-18 23:10:19.000000+00,2024-11-18 23:10:19.000000+00
458,133,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-11-28 23:10:19.000000+00,2024-11-28 23:10:19.000000+00
459,133,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-12-01 23:10:19.000000+00,2024-12-01 23:10:19.000000+00
460,134,1.0,,OPEN,ASSIGN,Issue created via chat,2024-12-14 13:53:40.000000+00,2024-12-14 13:53:40.000000+00
