id,site_id,raised_by_supervisor_id,title,description,priority,deadline_at,status,track_status,latitude,longitude,created_at,updated_at
47,14,1,Door hinge broken #47,Network issue at site. Priority: high. Requires immediate attention.,high,2023-09-08 21:20:39.000000+00,IN_PROGRESS,DELAYED,12.637563,79.924818,2023-08-30 21:20:39.000000+00,2023-08-31 02:20:39.000000+00
48,3,2,Leaking pipe in restroom #48,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2022-11-07 07:58:21.000000+00,ESCALATED,ON_TRACK,13.094136,80.270496,2022-10-28 07:58:21.000000+00,2022-10-28 12:58:21.000000+00
49,13,1,Electrical fault in panel #49,Network issue at site. Priority: medium. Requires immediate attention.,medium,2022-04-11 12:05:18.000000+00,COMPLETED,ON_TRACK,12.643898,80.231979,2022-03-28 12:05:18.000000+00,2022-03-29 00:05:18.000000+00
50,17,2,AC unit malfunction #50,Electrical issue at site. Priority: high. Requires immediate attention.,high,2025-09-21 15:41:26.000000+00,REOPENED,ON_TRACK,12.63018,80.065762,2025-09-16 15:41:26.000000+00,2025-09-17 23:41:26.000000+00
51,15,1,Window seal damaged #51,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2024-07-31 10:03:45.000000+00,COMPLETED,DELAYED,13.131261,80.22671,2024-07-19 10:03:45.000000+00,2024-07-21 01:03:45.000000+00
52,5,1,Door hinge broken #52,Hvac issue at site. Priority: medium. Requires immediate attention.,medium,2022-02-12 09:47:55.000000+00,IN_PROGRESS,DELAYED,13.034993,80.271703,2022-01-31 09:47:55.000000+00,2022-01-31 20:47:55.000000+00
53,19,2,Mechanical breakdown #53,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2026-01-01 12:01:25.000000+00,COMPLETED,ON_TRACK,13.004779,80.01826,2025-12-19 12:01:25.000000+00,2025-12-20 18:01:25.000000+00
54,8,3,Door hinge broken #54,Plumbing issue at site. Priority: low. Requires immediate attention.,low,2026-01-16 13:22:45.000000+00,IN_PROGRESS,ON_TRACK,12.702749,80.055134,2025-12-26 13:22:45.000000+00,2025-12-28 00:22:45.000000+00
55,3,2,Network switch failure #55,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2022-01-23 10:43:06.000000+00,IN_PROGRESS,ON_TRACK,12.961756,79.900209,2022-01-17 10:43:06.000000+00,2022-01-18 14:43:06.000000+00
56,8,3,Cable tray damage #56,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2024-03-18 09:00:11.000000+00,COMPLETED,DELAYED,12.679414,80.123087,2024-03-08 09:00:11.000000+00,2024-03-09 10:00:11.000000+00
57,4,3,Painting required #57,Electrical issue at site. Priority: medium. Requires immediate attention.,medium,2022-12-15 18:34:18.000000+00,COMPLETED,DELAYED,12.758759,79.922133,2022-12-06 18:34:18.000000+00,2022-12-07 15:34:18.000000+00
58,2,2,Electrical fault in panel #58,Electrical issue at site. Priority: low. Requires immediate attention.,low,2025-09-12 16:02:52.000000+00,ESCALATED,ON_TRACK,12.858696,80.028142,2025-09-04 16:02:52.000000+00,2025-09-05 06:02:52.000000+00
59,9,3,Pump motor failure #59,Painting issue at site. Priority: high. Requires immediate attention.,high,2022-06-12 16:06:59.000000+00,IN_PROGRESS,DELAYED,13.143026,80.233412,2022-06-07 16:06:59.000000+00,2022-06-08 03:06:59.000000+00
60,6,2,Cable tray damage #60,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2022-01-28 18:27:42.000000+00,COMPLETED,DELAYED,13.126909,80.30242,2022-01-22 18:27:42.000000+00,2022-01-23 06:27:42.000000+00
61,4,3,Roof leak reported #61,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2022-11-10 14:10:36.000000+00,COMPLETED,ON_TRACK,12.804083,80.273386,2022-10-28 14:10:36.000000+00,2022-10-29 18:10:36.000000+00
62,8,3,Window seal damaged #62,Painting issue at site. Priority: high. Requires immediate attention.,high,2025-07-06 09:54:32.000000+00,RESOLVED_PENDING_REVIEW,ON_TRACK,12.926107,80.348162,2025-07-01 09:54:32.000000+00,2025-07-02 00:54:32.000000+00
63,19,2,Sewage backup #63,Painting issue at site. Priority: high. Requires immediate attention.,high,2023-12-03 11:54:57.000000+00,IN_PROGRESS,DELAYED,12.895696,80.216269,2023-11-30 11:54:57.000000+00,2023-12-01 15:54:57.000000+00
64,13,1,Pump motor failure #64,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2025-12-23 04:59:42.000000+00,COMPLETED,ON_TRACK,12.886993,79.92749,2025-12-11 04:59:42.000000+00,2025-12-12 06:59:42.000000+00
65,17,2,Painting required #65,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2025-06-13 08:23:48.000000+00,ESCALATED,ON_TRACK,12.82567,79.964633,2025-06-08 08:23:48.000000+00,2025-06-10 01:23:48.000000+00
66,12,3,Generator fault #66,Hvac issue at site. Priority: medium. Requires immediate attention.,medium,2024-11-22 14:43:55.000000+00,COMPLETED,DELAYED,12.608899,80.050773,2024-11-12 14:43:55.000000+00,2024-11-14 10:43:55.000000+00
67,9,3,Floor drain blocked #67,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2024-06-10 09:33:41.000000+00,COMPLETED,DELAYED,12.643652,80.156778,2024-06-03 09:33:41.000000+00,2024-06-04 15:33:41.000000+00
68,20,3,Sewage backup #68,Plumbing issue at site. Priority: high. Requires immediate attention.,high,2024-05-25 18:17:15.000000+00,RESOLVED_PENDING_REVIEW,DELAYED,12.974062,80.143836,2024-05-16 18:17:15.000000+00,2024-05-17 05:17:15.000000+00
69,5,1,Roof leak reported #69,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2025-08-22 08:38:44.000000+00,OPEN,DELAYED,12.997388,80.144027,2025-08-14 08:38:44.000000+00,2025-08-15 01:38:44.000000+00
70,17,2,HVAC not cooling #70,Hvac issue at site. Priority: low. Requires immediate attention.,low,2024-10-22 17:21:54.000000+00,COMPLETED,DELAYED,12.965838,80.149093,2024-10-04 17:21:54.000000+00,2024-10-05 12:21:54.000000+00
71,12,3,HVAC not cooling #71,Mechanical issue at site. Priority: low. Requires immediate attention.,low,2024-09-20 15:51:48.000000+00,ESCALATED,ON_TRACK,12.62148,80.194675,2024-08-30 15:51:48.000000+00,2024-08-31 03:51:48.000000+00
72,8,3,AC unit malfunction #72,Network issue at site. Priority: medium. Requires immediate attention.,medium,2023-09-23 15:12:34.000000+00,COMPLETED,ON_TRACK,12.615731,80.177012,2023-09-16 15:12:34.000000+00,2023-09-16 20:12:34.000000+00
73,20,3,Roof leak reported #73,Plumbing issue at site. Priority: low. Requires immediate attention.,low,2025-02-06 15:31:39.000000+00,ASSIGNED,DELAYED,12.895483,80.14389,2025-01-22 15:31:39.000000+00,2025-01-23 19:31:39.000000+00
74,17,2,Pump motor failure #74,Mechanical issue at site. Priority: high. Requires immediate attention.,high,2025-01-26 05:06:11.000000+00,COMPLETED,DELAYED,12.79207,80.159562,2025-01-21 05:06:11.000000+00,2025-01-21 08:06:11.000000+00
75,18,2,Leaking pipe in restroom #75,Hvac issue at site. Priority: medium. Requires immediate attention.,medium,2024-12-02 14:41:11.000000+00,COMPLETED,DELAYED,12.821209,80.212976,2024-11-24 14:41:11.000000+00,2024-11-25 14:41:11.000000+00
76,13,1,AC unit malfunction #76,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2025-02-09 18:29:36.000000+00,RESOLVED_PENDING_REVIEW,DELAYED,12.61838,79.956171,2025-02-04 18:29:36.000000+00,2025-02-05 06:29:36.000000+00
77,11,2,Carpentry repair needed #77,Painting issue at site. Priority: low. Requires immediate attention.,low,2023-08-18 10:59:33.000000+00,ESCALATED,ON_TRACK,12.876411,80.07733,2023-08-05 10:59:33.000000+00,2023-08-07 02:59:33.000000+00
78,10,1,Door hinge broken #78,Electrical issue at site. Priority: low. Requires immediate attention.,low,2024-10-06 10:43:34.000000+00,RESOLVED_PENDING_REVIEW,DELAYED,12.945632,80.021164,2024-09-18 10:43:34.000000+00,2024-09-19 01:43:34.000000+00
79,7,3,AC unit malfunction #79,Network issue at site. Priority: low. Requires immediate attention.,low,2025-11-22 11:01:22.000000+00,COMPLETED,ON_TRACK,12.661862,80.082205,2025-11-01 11:01:22.000000+00,2025-11-03 07:01:22.000000+00
80,11,2,Door hinge broken #80,Electrical issue at site. Priority: medium. Requires immediate attention.,medium,2024-04-20 01:10:51.000000+00,REOPENED,ON_TRACK,12.706739,80.325261,2024-04-08 01:10:51.000000+00,2024-04-09 14:10:51.000000+00
81,6,2,Water seepage issue #81,Mechanical issue at site. Priority: low. Requires immediate attention.,low,2026-01-25 11:21:33.000000+00,REOPENED,DELAYED,13.06901,80.066523,2026-01-09 11:21:33.000000+00,2026-01-10 20:21:33.000000+00
82,4,3,Sewage backup #82,Network issue at site. Priority: low. Requires immediate attention.,low,2025-01-22 13:01:41.000000+00,OPEN,ON_TRACK,12.911361,80.330317,2025-01-08 13:01:41.000000+00,2025-01-10 05:01:41.000000+00
83,11,2,Mechanical breakdown #83,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2024-02-06 17:19:23.000000+00,COMPLETED,ON_TRACK,13.094917,80.000893,2024-01-28 17:19:23.000000+00,2024-01-30 09:19:23.000000+00
84,4,3,Painting required #84,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2025-10-26 17:04:59.000000+00,ASSIGNED,ON_TRACK,13.148328,80.16955,2025-10-20 17:04:59.000000+00,2025-10-22 03:04:59.000000+00
85,11,2,Floor drain blocked #85,Network issue at site. Priority: low. Requires immediate attention.,low,2023-01-14 08:05:53.000000+00,COMPLETED,ON_TRACK,12.726112,80.038411,2023-01-02 08:05:53.000000+00,2023-01-02 15:05:53.000000+00
86,11,2,Window seal damaged #86,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2023-06-04 11:46:11.000000+00,REOPENED,ON_TRACK,12.971628,79.99651,2023-05-25 11:46:11.000000+00,2023-05-26 21:46:11.000000+00
87,4,3,Network switch failure #87,Electrical issue at site. Priority: medium. Requires immediate attention.,medium,2025-06-08 13:02:01.000000+00,COMPLETED,ON_TRACK,12.759453,80.280972,2025-05-25 13:02:01.000000+00,2025-05-25 19:02:01.000000+00
88,2,2,Sewage backup #88,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2023-07-10 14:39:33.000000+00,ESCALATED,ON_TRACK,13.017647,80.135674,2023-07-04 14:39:33.000000+00,2023-07-06 13:39:33.000000+00
89,5,1,Floor drain blocked #89,Painting issue at site. Priority: high. Requires immediate attention.,high,2024-01-21 13:08:15.000000+00,COMPLETED,DELAYED,12.841316,80.300583,2024-01-13 13:08:15.000000+00,2024-01-14 17:08:15.000000+00
90,14,1,Generator fault #90,Plumbing issue at site. Priority: high. Requires immediate attention.,high,2023-05-29 00:33:55.000000+00,COMPLETED,ON_TRACK,13.075377,80.102401,2023-05-20 00:33:55.000000+00,2023-05-20 11:33:55.000000+00
91,5,1,Cable tray damage #91,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2025-01-10 13:47:57.000000+00,COMPLETED,ON_TRACK,12.92481,80.052791,2025-01-01 13:47:57.000000+00,2025-01-02 13:47:57.000000+00
92,11,2,Roof leak reported #92,Painting issue at site. Priority: high. Requires immediate attention.,high,2025-01-19 02:29:33.000000+00,COMPLETED,DELAYED,12.706665,79.958004,2025-01-12 02:29:33.000000+00,2025-01-12 08:29:33.000000+00
93,14,1,Water seepage issue #93,Hvac issue at site. Priority: high. Requires immediate attention.,high,2022-02-12 08:56:02.000000+00,OPEN,DELAYED,12.693566,80.038079,2022-02-09 08:56:02.000000+00,2022-02-09 23:56:02.000000+00
94,3,2,Floor drain blocked #94,Electrical issue at site. Priority: high. Requires immediate attention.,high,2022-07-31 09:51:20.000000+00,REOPENED,ON_TRACK,12.641546,79.902506,2022-07-23 09:51:20.000000+00,2022-07-24 19:51:20.000000+00
95,7,3,Exhaust fan issue #95,Carpentry issue at site. Priority: low. Requires immediate attention.,low,2024-09-21 10:43:06.000000+00,RESOLVED_PENDING_REVIEW,DELAYED,12.781957,80.283005,2024-09-10 10:43:06.000000+00,2024-09-11 11:43:06.000000+00
96,19,2,Generator fault #96,Network issue at site. Priority: low. Requires immediate attention.,low,2025-02-08 15:54:44.000000+00,IN_PROGRESS,DELAYED,12.733251,80.102052,2025-01-18 15:54:44.000000+00,2025-01-19 10:54:44.000000+00
97,14,1,HVAC not cooling #97,Electrical issue at site. Priority: medium. Requires immediate attention.,medium,2025-03-13 13:54:32.000000+00,IN_PROGRESS,DELAYED,13.151545,80.029561,2025-03-06 13:54:32.000000+00,2025-03-07 01:54:32.000000+00
98,18,2,Leaking pipe in restroom #98,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2025-06-28 10:12:53.000000+00,ESCALATED,DELAYED,12.675777,80.172961,2025-06-22 10:12:53.000000+00,2025-06-24 02:12:53.000000+00
99,3,2,Pump motor failure #99,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2023-08-15 21:24:25.000000+00,RESOLVED_PENDING_REVIEW,ON_TRACK,12.911754,80.086916,2023-08-09 21:24:25.000000+00,2023-08-11 19:24:25.000000+00
100,18,2,Generator fault #100,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2023-07-01 10:49:30.000000+00,RESOLVED_PENDING_REVIEW,ON_TRACK,12.911209,79.939191,2023-06-20 10:49:30.000000+00,2023-06-20 22:49:30.000000+00
101,12,3,Cable tray damage #101,Mechanical issue at site. Priority: low. Requires immediate attention.,low,2024-01-03 13:35:40.000000+00,ESCALATED,DELAYED,12.8903,80.070509,2023-12-23 13:35:40.000000+00,2023-12-24 10:35:40.000000+00
102,5,1,Network switch failure #102,Network issue at site. Priority: medium. Requires immediate attention.,medium,2022-06-01 18:47:29.000000+00,COMPLETED,ON_TRACK,13.139791,80.14921,2022-05-21 18:47:29.000000+00,2022-05-23 06:47:29.000000+00
103,6,2,Mechanical breakdown #103,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2023-11-26 19:06:32.000000+00,IN_PROGRESS,ON_TRACK,12.705329,80.105725,2023-11-14 19:06:32.000000+00,2023-11-16 17:06:32.000000+00
104,7,3,Cable tray damage #104,Network issue at site. Priority: medium. Requires immediate attention.,medium,2024-10-20 10:53:59.000000+00,RESOLVED_PENDING_REVIEW,DELAYED,12.795494,79.977645,2024-10-15 10:53:59.000000+00,2024-10-17 02:53:59.000000+00
105,7,3,Cable tray damage #105,Carpentry issue at site. Priority: high. Requires immediate attention.,high,2023-10-06 22:14:47.000000+00,ESCALATED,ON_TRACK,13.039683,80.259731,2023-10-02 22:14:47.000000+00,2023-10-03 18:14:47.000000+00
106,8,3,Cable tray damage #106,Network issue at site. Priority: medium. Requires immediate attention.,medium,2024-05-15 10:20:41.000000+00,ESCALATED,DELAYED,13.021482,80.010035,2024-05-05 10:20:41.000000+00,2024-05-06 21:20:41.000000+00
107,7,3,Generator fault #107,Hvac issue at site. Priority: medium. Requires immediate attention.,medium,2024-05-22 15:05:58.000000+00,COMPLETED,DELAYED,12.850725,80.120096,2024-05-13 15:05:58.000000+00,2024-05-14 23:05:58.000000+00
108,8,3,Pump motor failure #108,Electrical issue at site. Priority: low. Requires immediate attention.,low,2025-06-21 11:01:36.000000+00,COMPLETED,DELAYED,12.756623,80.014253,2025-06-09 11:01:36.000000+00,2025-06-11 10:01:36.000000+00
109,4,3,Painting required #109,Electrical issue at site. Priority: medium. Requires immediate attention.,medium,2025-10-26 17:28:00.000000+00,ASSIGNED,ON_TRACK,12.942626,80.098064,2025-10-19 17:28:00.000000+00,2025-10-20 09:28:00.000000+00
110,20,3,Floor drain blocked #110,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2025-04-03 15:46:07.000000+00,ESCALATED,ON_TRACK,12.894196,80.302922,2025-03-26 15:46:07.000000+00,2025-03-28 03:46:07.000000+00
111,17,2,Electrical fault in panel #111,Electrical issue at site. Priority: high. Requires immediate attention.,high,2022-07-27 18:48:06.000000+00,ASSIGNED,DELAYED,13.07594,80.078709,2022-07-22 18:48:06.000000+00,2022-07-23 06:48:06.000000+00
112,2,2,Generator fault #112,Plumbing issue at site. Priority: high. Requires immediate attention.,high,2023-02-27 03:31:55.000000+00,RESOLVED_PENDING_REVIEW,DELAYED,12.963948,80.322877,2023-02-17 03:31:55.000000+00,2023-02-18 12:31:55.000000+00
