id,issue_id,assigned_to_solver_id,assigned_by_supervisor_id,due_date,status,created_at,updated_at
39,45,9,3,2022-11-08 07:48:13.000000+00,COMPLETED,2022-10-26 07:48:13.000000+00,2022-10-26 19:48:13.000000+00
40,46,9,2,2022-02-20 18:07:42.000000+00,REOPENED,2022-02-15 18:07:42.000000+00,2022-02-18 10:07:42.000000+00
41,46,9,2,2022-02-22 18:07:42.000000+00,ACTIVE,2022-02-18 02:07:42.000000+00,2022-02-20 01:07:42.000000+00
42,47,7,1,2023-09-08 21:20:39.000000+00,ACTIVE,2023-08-30 21:20:39.000000+00,2023-09-02 06:20:39.000000+00
43,48,9,2,2022-11-07 07:58:21.000000+00,REOPENED,2022-10-28 07:58:21.000000+00,2022-10-28 17:58:21.000000+00
44,49,7,1,2022-04-11 12:05:18.000000+00,COMPLETED,2022-03-28 12:05:18.000000+00,2022-03-30 21:05:18.000000+00
45,50,10,2,2025-09-21 15:41:26.000000+00,REOPENED,2025-09-16 15:41:26.000000+00,2025-09-18 08:41:26.000000+00
46,51,10,1,2024-07-31 10:03:45.000000+00,COMPLETED,2024-07-19 10:03:45.000000+00,2024-07-22 04:03:45.000000+00
47,52,10,1,2022-02-12 09:47:55.000000+00,ACTIVE,2022-01-31 09:47:55.000000+00,2022-02-02 01:47:55.000000+00
48,53,6,2,2026-01-01 12:01:25.000000+00,COMPLETED,2025-12-19 12:01:25.000000+00,2025-12-20 10:01:25.000000+00
49,54,6,3,2026-01-16 13:22:45.000000+00,ACTIVE,2025-12-26 13:22:45.000000+00,2025-12-27 04:22:45.000000+00
50,55,6,2,2022-01-23 10:43:06.000000+00,ACTIVE,2022-01-17 10:43:06.000000+00,2022-01-18 11:43:06.000000+00
51,56,9,3,2024-03-18 09:00:11.000000+00,COMPLETED,2024-03-08 09:00:11.000000+00,2024-03-10 19:00:11.000000+00
52,57,10,3,2022-12-15 18:34:18.000000+00,COMPLETED,2022-12-06 18:34:18.000000+00,2022-12-08 23:34:18.000000+00
53,58,10,2,2025-09-12 16:02:52.000000+00,REOPENED,2025-09-04 16:02:52.000000+00,2025-09-05 18:02:52.000000+00
54,58,7,2,2025-09-14 16:02:52.000000+00,ACTIVE,2025-09-06 21:02:52.000000+00,2025-09-09 06:02:52.000000+00
55,59,9,3,2022-06-12 16:06:59.000000+00,ACTIVE,2022-06-07 16:06:59.000000+00,2022-06-07 23:06:59.000000+00
56,60,6,2,2022-01-28 18:27:42.000000+00,COMPLETED,2022-01-22 18:27:42.000000+00,2022-01-23 17:27:42.000000+00
57,61,9,3,2022-11-10 14:10:36.000000+00,COMPLETED,2022-10-28 14:10:36.000000+00,2022-10-31 07:10:36.000000+00
58,62,9,3,2025-07-06 09:54:32.000000+00,ACTIVE,2025-07-01 09:54:32.000000+00,2025-07-01 23:54:32.000000+00
59,63,9,2,2023-12-03 11:54:57.000000+00,ACTIVE,2023-11-30 11:54:57.000000+00,2023-12-02 03:54:57.000000+00
60,64,9,1,2025-12-23 04:59:42.000000+00,COMPLETED,2025-12-11 04:59:42.000000+00,2025-12-13 16:59:42.000000+00
61,65,9,2,2025-06-13 08:23:48.000000+00,REOPENED,2025-06-08 08:23:48.000000+00,2025-06-10 07:23:48.000000+00
62,66,8,3,2024-11-22 14:43:55.000000+00,COMPLETED,2024-11-12 14:43:55.000000+00,2024-11-13 02:43:55.000000+00
63,67,6,3,2024-06-10 09:33:41.000000+00,COMPLETED,2024-06-03 09:33:41.000000+00,2024-06-05 06:33:41.000000+00
64,68,6,3,2024-05-25 18:17:15.000000+00,ACTIVE,2024-05-16 18:17:15.000000+00,2024-05-17 03:17:15.000000+00
65,70,8,2,2024-10-22 17:21:54.000000+00,COMPLETED,2024-10-04 17:21:54.000000+00,2024-10-05 11:21:54.000000+00
66,71,6,3,2024-09-20 15:51:48.000000+00,REOPENED,2024-08-30 15:51:48.000000+00,2024-09-01 16:51:48.000000+00
67,72,7,3,2023-09-23 15:12:34.000000+00,COMPLETED,2023-09-16 15:12:34.000000+00,2023-09-16 22:12:34.000000+00
68,73,9,3,2025-02-06 15:31:39.000000+00,ACTIVE,2025-01-22 15:31:39.000000+00,2025-01-25 02:31:39.000000+00
69,74,10,2,2025-01-26 05:06:11.000000+00,COMPLETED,2025-01-21 05:06:11.000000+00,2025-01-22 01:06:11.000000+00
70,75,10,2,2024-12-02 14:41:11.000000+00,COMPLETED,2024-11-24 14:41:11.000000+00,2024-11-24 20:41:11.000000+00
71,76,10,1,2025-02-09 18:29:36.000000+00,ACTIVE,2025-02-04 18:29:36.000000+00,2025-02-06 22:29:36.000000+00
72,77,9,2,2023-08-18 10:59:33.000000+00,REOPENED,2023-08-05 10:59:33.000000+00,2023-08-07 21:59:33.000000+00
73,78,10,1,2024-10-06 10:43:34.000000+00,ACTIVE,2024-09-18 10:43:34.000000+00,2024-09-20 23:43:34.000000+00
74,79,10,3,2025-11-22 11:01:22.000000+00,COMPLETED,2025-11-01 11:01:22.000000+00,2025-11-02 17:01:22.000000+00
75,80,7,2,2024-04-20 01:10:51.000000+00,REOPENED,2024-04-08 01:10:51.000000+00,2024-04-08 17:10:51.000000+00
76,81,6,2,2026-01-25 11:21:33.000000+00,REOPENED,2026-01-09 11:21:33.000000+00,2026-01-10 09:21:33.000000+00
77,83,9,2,2024-02-06 17:19:23.000000+00,COMPLETED,2024-01-28 17:19:23.000000+00,2024-01-29 07:19:23.000000+00
78,84,9,3,2025-10-26 17:04:59.000000+00,ACTIVE,2025-10-20 17:04:59.000000+00,2025-10-23 01:04:59.000000+00
79,85,7,2,2023-01-14 08:05:53.000000+00,COMPLETED,2023-01-02 08:05:53.000000+00,2023-01-05 06:05:53.000000+00
80,86,9,2,2023-06-04 11:46:11.000000+00,REOPENED,2023-05-25 11:46:11.000000+00,2023-05-26 05:46:11.000000+00
81,87,10,3,2025-06-08 13:02:01.000000+00,COMPLETED,2025-05-25 13:02:01.000000+00,2025-05-26 20:02:01.000000+00
82,88,9,2,2023-07-10 14:39:33.000000+00,REOPENED,2023-07-04 14:39:33.000000+00,2023-07-05 15:39:33.000000+00
83,89,9,1,2024-01-21 13:08:15.000000+00,COMPLETED,2024-01-13 13:08:15.000000+00,2024-01-14 11:08:15.000000+00
84,90,6,1,2023-05-29 00:33:55.000000+00,COMPLETED,2023-05-20 00:33:55.000000+00,2023-05-22 01:33:55.000000+00
85,91,8,1,2025-01-10 13:47:57.000000+00,COMPLETED,2025-01-01 13:47:57.000000+00,2025-01-04 00:47:57.000000+00
86,92,9,2,2025-01-19 02:29:33.000000+00,COMPLETED,2025-01-12 02:29:33.000000+00,2025-01-13 20:29:33.000000+00
87,94,7,2,2022-07-31 09:51:20.000000+00,REOPENED,2022-07-23 09:51:20.000000+00,2022-07-23 10:51:20.000000+00
88,95,6,3,2024-09-21 10:43:06.000000+00,ACTIVE,2024-09-10 10:43:06.000000+00,2024-09-10 22:43:06.000000+00
89,96,7,2,2025-02-08 15:54:44.000000+00,ACTIVE,2025-01-18 15:54:44.000000+00,2025-01-18 17:54:44.000000+00
90,97,7,1,2025-03-13 13:54:32.000000+00,ACTIVE,2025-03-06 13:54:32.000000+00,2025-03-07 15:54:32.000000+00
91,98,9,2,2025-06-28 10:12:53.000000+00,REOPENED,2025-06-22 10:12:53.000000+00,2025-06-23 22:12:53.000000+00
92,99,6,2,2023-08-15 21:24:25.000000+00,ACTIVE,2023-08-09 21:24:25.000000+00,2023-08-10 23:24:25.000000+00
93,100,10,2,2023-07-01 10:49:30.000000+00,ACTIVE,2023-06-20 10:49:30.000000+00,2023-06-23 06:49:30.000000+00
94,101,10,3,2024-01-03 13:35:40.000000+00,REOPENED,2023-12-23 13:35:40.000000+00,2023-12-25 18:35:40.000000+00
95,102,10,1,2022-06-01 18:47:29.000000+00,COMPLETED,2022-05-21 18:47:29.000000+00,2022-05-22 08:47:29.000000+00
96,103,9,2,2023-11-26 19:06:32.000000+00,ACTIVE,2023-11-14 19:06:32.000000+00,2023-11-15 14:06:32.000000+00
97,104,10,3,2024-10-20 10:53:59.000000+00,ACTIVE,2024-10-15 10:53:59.000000+00,2024-10-17 02:53:59.000000+00
98,105,9,3,2023-10-06 22:14:47.000000+00,REOPENED,2023-10-02 22:14:47.000000+00,2023-10-03 05:14:47.000000+00
99,106,10,3,2024-05-15 10:20:41.000000+00,REOPENED,2024-05-05 10:20:41.000000+00,2024-05-07 22:20:41.000000+00
100,107,10,3,2024-05-22 15:05:58.000000+00,COMPLETED,2024-05-13 15:05:58.000000+00,2024-05-16 12:05:58.000000+00
101,108,7,3,2025-06-21 11:01:36.000000+00,COMPLETED,2025-06-09 11:01:36.000000+00,2025-06-10 01:01:36.000000+00
102,109,7,3,2025-10-26 17:28:00.000000+00,ACTIVE,2025-10-19 17:28:00.000000+00,2025-10-19 20:28:00.000000+00
103,110,8,3,2025-04-03 15:46:07.000000+00,REOPENED,2025-03-26 15:46:07.000000+00,2025-03-27 22:46:07.000000+00
104,111,10,2,2022-07-27 18:48:06.000000+00,ACTIVE,2022-07-22 18:48:06.000000+00,2022-07-24 05:48:06.000000+00
105,112,9,2,2023-02-27 03:31:55.000000+00,ACTIVE,2023-02-17 03:31:55.000000+00,2023-02-17 12:31:55.000000+00
106,113,6,2,2023-07-09 13:42:32.000000+00,COMPLETED,2023-06-27 13:42:32.000000+00,2023-06-28 22:42:32.000000+00
107,114,8,3,2023-03-17 01:26:41.000000+00,ACTIVE,2023-03-09 01:26:41.000000+00,2023-03-11 05:26:41.000000+00
108,115,9,2,2023-12-20 10:13:55.000000+00,COMPLETED,2023-12-16 10:13:55.000000+00,2023-12-19 10:13:55.000000+00
109,116,6,2,2023-07-05 09:19:12.000000+00,REOPENED,2023-06-25 09:19:12.000000+00,2023-06-28 05:19:12.000000+00
110,117,9,3,2024-06-28 15:05:13.000000+00,COMPLETED,2024-06-14 15:05:13.000000+00,2024-06-17 03:05:13.000000+00
111,119,9,2,2022-07-02 09:08:58.000000+00,ACTIVE,2022-06-25 09:08:58.000000+00,2022-06-27 09:08:58.000000+00
112,120,9,2,2025-03-11 13:22:35.000000+00,COMPLETED,2025-02-27 13:22:35.000000+00,2025-02-28 20:22:35.000000+00
113,121,8,2,2024-06-20 14:21:13.000000+00,COMPLETED,2024-06-07 14:21:13.000000+00,2024-06-08 22:21:13.000000+00
114,122,9,1,2025-05-09 09:05:18.000000+00,REOPENED,2025-05-04 09:05:18.000000+00,2025-05-06 05:05:18.000000+00
115,123,7,1,2024-11-09 10:09:38.000000+00,COMPLETED,2024-10-29 10:09:38.000000+00,2024-10-30 04:09:38.000000+00
116,124,6,3,2023-08-23 01:54:17.000000+00,REOPENED,2023-08-15 01:54:17.000000+00,2023-08-15 16:54:17.000000+00
117,125,7,2,2023-06-26 17:31:52.000000+00,REOPENED,2023-06-21 17:31:52.000000+00,2023-06-22 17:31:52.000000+00
118,126,10,3,2026-01-03 13:34:23.000000+00,COMPLETED,2025-12-23 13:34:23.000000+00,2025-12-26 08:34:23.000000+00
119,127,6,2,2025-04-27 10:30:59.000000+00,REOPENED,2025-04-24 10:30:59.000000+00,2025-04-24 21:30:59.000000+00
120,128,10,1,2022-04-08 17:03:28.000000+00,COMPLETED,2022-04-04 17:03:28.000000+00,2022-04-06 07:03:28.000000+00
121,129,9,1,2023-03-23 09:21:20.000000+00,REOPENED,2023-03-14 09:21:20.000000+00,2023-03-15 07:21:20.000000+00
122,130,9,1,2023-02-03 08:39:23.000000+00,ACTIVE,2023-01-23 08:39:23.000000+00,2023-01-24 22:39:23.000000+00
123,131,8,3,2023-08-12 18:49:22.000000+00,COMPLETED,2023-07-31 18:49:22.000000+00,2023-08-01 16:49:22.000000+00
124,133,9,1,2025-11-27 21:59:08.000000+00,COMPLETED,2025-11-16 21:59:08.000000+00,2025-11-19 04:59:08.000000+00
125,134,7,1,2023-10-27 16:00:33.000000+00,REOPENED,2023-10-21 16:00:33.000000+00,2023-10-21 19:00:33.000000+00
126,135,9,1,2025-02-04 13:45:03.000000+00,ACTIVE,2025-01-23 13:45:03.000000+00,2025-01-25 11:45:03.000000+00
127,136,6,2,2025-01-19 09:03:52.000000+00,REOPENED,2025-01-12 09:03:52.000000+00,2025-01-14 23:03:52.000000+00
128,137,10,1,2022-07-02 09:54:10.000000+00,ACTIVE,2022-06-27 09:54:10.000000+00,2022-06-29 10:54:10.000000+00
129,138,6,3,2023-11-09 15:00:56.000000+00,ACTIVE,2023-10-24 15:00:56.000000+00,2023-10-26 22:00:56.000000+00
130,139,6,3,2025-06-10 10:22:16.000000+00,ACTIVE,2025-06-02 10:22:16.000000+00,2025-06-03 20:22:16.000000+00
131,140,10,1,2025-07-17 13:37:04.000000+00,ACTIVE,2025-07-02 13:37:04.000000+00,2025-07-04 05:37:04.000000+00
132,141,8,3,2023-10-10 12:21:40.000000+00,ACTIVE,2023-10-07 12:21:40.000000+00,2023-10-08 09:21:40.000000+00
133,142,8,1,2025-11-29 08:47:41.000000+00,COMPLETED,2025-11-20 08:47:41.000000+00,2025-11-23 00:47:41.000000+00
134,143,9,2,2025-01-01 07:25:35.000000+00,COMPLETED,2024-12-23 07:25:35.000000+00,2024-12-25 03:25:35.000000+00
135,144,8,2,2024-08-15 08:51:37.000000+00,COMPLETED,2024-08-06 08:51:37.000000+00,2024-08-09 03:51:37.000000+00
136,145,7,3,2024-02-19 18:04:12.000000+00,REOPENED,2024-02-05 18:04:12.000000+00,2024-02-07 00:04:12.000000+00
137,146,6,1,2023-10-07 06:59:07.000000+00,ACTIVE,2023-10-01 06:59:07.000000+00,2023-10-03 02:59:07.000000+00
138,148,7,1,2024-06-16 01:49:09.000000+00,COMPLETED,2024-06-02 01:49:09.000000+00,2024-06-03 00:49:09.000000+00
139,149,6,1,2022-12-20 16:29:52.000000+00,ACTIVE,2022-11-29 16:29:52.000000+00,2022-12-01 03:29:52.000000+00
140,150,6,1,2025-06-14 12:06:54.000000+00,COMPLETED,2025-06-01 12:06:54.000000+00,2025-06-04 03:06:54.000000+00
141,152,7,2,2024-09-12 12:59:42.000000+00,COMPLETED,2024-08-30 12:59:42.000000+00,2024-08-30 14:59:42.000000+00
142,153,10,3,2024-04-21 09:28:56.000000+00,ACTIVE,2024-04-11 09:28:56.000000+00,2024-04-12 09:28:56.000000+00
143,154,10,2,2023-11-16 21:26:23.000000+00,COMPLETED,2023-11-11 21:26:23.000000+00,2023-11-11 22:26:23.000000+00
144,155,8,2,2024-11-10 10:53:12.000000+00,ACTIVE,2024-11-01 10:53:12.000000+00,2024-11-02 14:53:12.000000+00
145,156,10,2,2024-03-21 15:40:06.000000+00,COMPLETED,2024-03-04 15:40:06.000000+00,2024-03-07 05:40:06.000000+00
146,157,7,2,2022-09-12 14:37:42.000000+00,ACTIVE,2022-08-22 14:37:42.000000+00,2022-08-25 13:37:42.000000+00
147,158,10,3,2025-01-26 09:50:37.000000+00,REOPENED,2025-01-13 09:50:37.000000+00,2025-01-16 06:50:37.000000+00
148,159,10,3,2024-02-09 16:35:14.000000+00,COMPLETED,2024-01-28 16:35:14.000000+00,2024-01-30 13:35:14.000000+00
149,160,10,1,2023-04-18 17:59:26.000000+00,ACTIVE,2023-03-31 17:59:26.000000+00,2023-04-03 10:59:26.000000+00
150,161,10,3,2023-11-07 15:32:19.000000+00,COMPLETED,2023-10-29 15:32:19.000000+00,2023-10-31 02:32:19.000000+00
151,163,8,3,2024-04-13 16:14:39.000000+00,ACTIVE,2024-04-10 16:14:39.000000+00,2024-04-13 14:14:39.000000+00
152,165,8,3,2024-11-09 02:37:09.000000+00,REOPENED,2024-10-24 02:37:09.000000+00,2024-10-24 17:37:09.000000+00
153,166,7,3,2024-01-12 01:23:56.000000+00,REOPENED,2024-01-09 01:23:56.000000+00,2024-01-10 03:23:56.000000+00
154,167,7,2,2022-06-06 08:58:10.000000+00,COMPLETED,2022-05-27 08:58:10.000000+00,2022-05-28 04:58:10.000000+00
155,168,7,3,2022-06-09 18:02:55.000000+00,REOPENED,2022-06-01 18:02:55.000000+00,2022-06-02 00:02:55.000000+00
156,169,9,1,2025-03-03 09:49:33.000000+00,ACTIVE,2025-02-24 09:49:33.000000+00,2025-02-25 03:49:33.000000+00
157,170,7,2,2024-05-08 11:30:03.000000+00,COMPLETED,2024-04-20 11:30:03.000000+00,2024-04-21 14:30:03.000000+00
158,171,8,2,2023-03-17 09:50:14.000000+00,REOPENED,2023-02-25 09:50:14.000000+00,2023-02-28 03:50:14.000000+00
159,172,8,2,2024-08-25 17:51:58.000000+00,ACTIVE,2024-08-15 17:51:58.000000+00,2024-08-15 22:51:58.000000+00
160,173,10,2,2024-06-16 09:20:21.000000+00,ACTIVE,2024-05-31 09:20:21.000000+00,2024-06-01 10:20:21.000000+00
161,174,6,1,2024-08-07 08:54:43.000000+00,COMPLETED,2024-07-19 08:54:43.000000+00,2024-07-20 10:54:43.000000+00
162,175,9,3,2022-04-23 14:43:46.000000+00,COMPLETED,2022-04-20 14:43:46.000000+00,2022-04-23 07:43:46.000000+00
163,176,8,1,2023-02-04 18:08:06.000000+00,ACTIVE,2023-01-22 18:08:06.000000+00,2023-01-24 22:08:06.000000+00
164,177,8,1,2022-02-27 18:36:19.000000+00,ACTIVE,2022-02-08 18:36:19.000000+00,2022-02-09 23:36:19.000000+00
165,178,8,1,2023-08-15 12:50:57.000000+00,COMPLETED,2023-08-06 12:50:57.000000+00,2023-08-07 20:50:57.000000+00
166,179,8,2,2025-07-09 02:57:02.000000+00,ACTIVE,2025-06-28 02:57:02.000000+00,2025-06-28 13:57:02.000000+00
167,180,9,2,2024-06-16 12:49:20.000000+00,ACTIVE,2024-06-06 12:49:20.000000+00,2024-06-06 18:49:20.000000+00
168,181,9,3,2025-05-07 14:56:24.000000+00,REOPENED,2025-04-30 14:56:24.000000+00,2025-05-02 01:56:24.000000+00
169,182,8,2,2023-09-16 17:38:22.000000+00,REOPENED,2023-09-08 17:38:22.000000+00,2023-09-09 09:38:22.000000+00
170,183,10,3,2022-09-04 15:27:56.000000+00,ACTIVE,2022-08-25 15:27:56.000000+00,2022-08-27 08:27:56.000000+00
171,184,6,3,2023-09-03 09:11:17.000000+00,ACTIVE,2023-08-30 09:11:17.000000+00,2023-08-30 14:11:17.000000+00
172,185,9,2,2024-03-27 08:00:48.000000+00,ACTIVE,2024-03-14 08:00:48.000000+00,2024-03-16 04:00:48.000000+00
173,187,7,1,2025-01-31 12:54:10.000000+00,REOPENED,2025-01-20 12:54:10.000000+00,2025-01-21 12:54:10.000000+00
174,187,10,1,2025-02-02 12:54:10.000000+00,ACTIVE,2025-01-23 07:54:10.000000+00,2025-01-25 00:54:10.000000+00
175,188,7,3,2025-03-02 10:17:12.000000+00,COMPLETED,2025-02-16 10:17:12.000000+00,2025-02-19 05:17:12.000000+00
176,189,8,2,2024-05-21 18:10:23.000000+00,ACTIVE,2024-05-10 18:10:23.000000+00,2024-05-13 15:10:23.000000+00
177,190,10,3,2023-05-29 18:44:18.000000+00,REOPENED,2023-05-19 18:44:18.000000+00,2023-05-19 19:44:18.000000+00
178,191,10,1,2023-04-28 12:41:29.000000+00,COMPLETED,2023-04-20 12:41:29.000000+00,2023-04-20 15:41:29.000000+00
179,192,9,1,2023-12-15 16:39:48.000000+00,REOPENED,2023-11-27 16:39:48.000000+00,2023-11-30 11:39:48.000000+00
180,193,6,1,2025-11-06 22:04:01.000000+00,REOPENED,2025-10-31 22:04:01.000000+00,2025-11-02 04:04:01.000000+00
181,194,9,3,2025-07-23 14:43:10.000000+00,COMPLETED,2025-07-17 14:43:10.000000+00,2025-07-18 21:43:10.000000+00
182,195,7,2,2025-05-11 11:52:02.000000+00,ACTIVE,2025-05-02 11:52:02.000000+00,2025-05-04 04:52:02.000000+00
183,196,9,2,2024-05-18 10:17:39.000000+00,ACTIVE,2024-04-27 10:17:39.000000+00,2024-04-29 13:17:39.000000+00
184,197,10,3,2022-04-27 09:06:49.000000+00,ACTIVE,2022-04-18 09:06:49.000000+00,2022-04-19 22:06:49.000000+00
185,199,8,2,2024-08-09 15:45:50.000000+00,REOPENED,2024-07-25 15:45:50.000000+00,2024-07-26 17:45:50.000000+00
186,199,6,2,2024-08-11 15:45:50.000000+00,ACTIVE,2024-07-27 23:45:50.000000+00,2024-07-28 22:45:50.000000+00
187,200,10,3,2024-04-24 16:32:42.000000+00,REOPENED,2024-04-13 16:32:42.000000+00,2024-04-16 15:32:42.000000+00
188,201,10,2,2024-03-31 05:40:09.000000+00,REOPENED,2024-03-10 05:40:09.000000+00,2024-03-12 20:40:09.000000+00
189,202,10,1,2025-01-09 15:06:17.000000+00,ACTIVE,2024-12-28 15:06:17.000000+00,2024-12-30 03:06:17.000000+00
190,203,7,3,2025-03-14 12:14:19.000000+00,COMPLETED,2025-03-07 12:14:19.000000+00,2025-03-08 18:14:19.000000+00
191,204,10,3,2023-12-06 11:15:36.000000+00,REOPENED,2023-11-30 11:15:36.000000+00,2023-12-03 00:15:36.000000+00
192,205,7,2,2022-12-06 08:43:56.000000+00,ACTIVE,2022-11-23 08:43:56.000000+00,2022-11-25 14:43:56.000000+00
193,206,7,2,2022-07-14 09:00:11.000000+00,COMPLETED,2022-07-08 09:00:11.000000+00,2022-07-09 14:00:11.000000+00
194,207,10,1,2023-08-27 08:32:53.000000+00,ACTIVE,2023-08-13 08:32:53.000000+00,2023-08-14 13:32:53.000000+00
195,208,10,1,2022-05-20 21:15:32.000000+00,ACTIVE,2022-05-10 21:15:32.000000+00,2022-05-11 14:15:32.000000+00
196,209,10,3,2023-04-03 12:14:03.000000+00,ACTIVE,2023-03-26 12:14:03.000000+00,2023-03-26 18:14:03.000000+00
197,210,10,3,2025-05-14 09:47:11.000000+00,COMPLETED,2025-05-01 09:47:11.000000+00,2025-05-03 10:47:11.000000+00
198,211,9,2,2024-11-21 13:35:27.000000+00,ACTIVE,2024-11-16 13:35:27.000000+00,2024-11-18 10:35:27.000000+00
199,212,9,2,2023-08-09 20:46:21.000000+00,COMPLETED,2023-07-29 20:46:21.000000+00,2023-08-01 00:46:21.000000+00
200,213,9,2,2025-11-12 14:27:57.000000+00,COMPLETED,2025-11-03 14:27:57.000000+00,2025-11-06 05:27:57.000000+00
201,214,8,3,2025-09-30 09:45:53.000000+00,ACTIVE,2025-09-09 09:45:53.000000+00,2025-09-11 19:45:53.000000+00
202,215,10,2,2022-06-20 17:17:49.000000+00,REOPENED,2022-06-06 17:17:49.000000+00,2022-06-07 04:17:49.000000+00
